name,time,year,month,rain,tmean
buenos aires bahia blanca,1993-08-01,1993,8,0.00012236579,10.427311197916689
buenos aires bahia blanca,1993-09-01,1993,9,0.0007194847,12.046370442708357
buenos aires bahia blanca,1993-10-01,1993,10,0.002106047,15.487858072916689
buenos aires bahia blanca,1993-11-01,1993,11,0.003066383,17.143457031250023
buenos aires bahia blanca,1994-08-01,1994,8,0.0013358745,9.458317057291689
buenos aires bahia blanca,1994-09-01,1994,9,0.00079551415,12.393457031250025
buenos aires bahia blanca,1994-10-01,1994,10,0.0015010814,14.252343750000025
buenos aires bahia blanca,1994-11-01,1994,11,0.0012966753,20.47833658854169
buenos aires bahia blanca,1995-08-01,1995,8,0.0007251934,8.799869791666689
buenos aires bahia blanca,1995-09-01,1995,9,0.00029203633,12.646630859375025
buenos aires bahia blanca,1995-10-01,1995,10,0.0020335994,14.855208333333357
buenos aires bahia blanca,1995-11-01,1995,11,0.0024146198,19.032942708333355
buenos aires bahia blanca,1996-08-01,1996,8,0.0028211244,11.683007812500025
buenos aires bahia blanca,1996-09-01,1996,9,0.00066154404,11.994042968750025
buenos aires bahia blanca,1996-10-01,1996,10,0.0026899988,16.01520182291669
buenos aires bahia blanca,1996-11-01,1996,11,0.0031206708,19.74249674479169
buenos aires bahia blanca,1997-08-01,1997,8,0.000657743,9.792301432291689
buenos aires bahia blanca,1997-09-01,1997,9,0.0015218281,10.751041666666689
buenos aires bahia blanca,1997-10-01,1997,10,0.0027985927,14.429264322916689
buenos aires bahia blanca,1997-11-01,1997,11,0.0014749885,17.62604166666669
buenos aires bahia blanca,1998-08-01,1998,8,0.0009559545,10.551578776041689
buenos aires bahia blanca,1998-09-01,1998,9,0.0030149275,10.719547526041689
buenos aires bahia blanca,1998-10-01,1998,10,0.0008842768,17.47443033854169
buenos aires bahia blanca,1998-11-01,1998,11,0.0031538124,19.005761718750023
buenos aires bahia blanca,1999-08-01,1999,8,0.00083935977,10.419091796875025
buenos aires bahia blanca,1999-09-01,1999,9,0.0015888346,12.515852864583357
buenos aires bahia blanca,1999-10-01,1999,10,0.0014128931,15.745182291666689
buenos aires bahia blanca,1999-11-01,1999,11,0.003478431,18.30670572916669
buenos aires bahia blanca,2000-08-01,2000,8,0.0011942848,8.421695963541689
buenos aires bahia blanca,2000-09-01,2000,9,0.002122152,10.672672526041689
buenos aires bahia blanca,2000-10-01,2000,10,0.0030555287,13.611637369791689
buenos aires bahia blanca,2000-11-01,2000,11,0.0014553085,17.47027994791669
buenos aires bahia blanca,2001-08-01,2001,8,0.0033559222,11.020003255208357
buenos aires bahia blanca,2001-09-01,2001,9,0.0029723414,11.084944661458357
