model,year,init_month,forecasted_month,rain,tmean,lat,lon
PNU,1993,11,11,0.0021708717346191407,10.000726318359398,-45.0,-67.5
PNU,1993,11,11,0.0014005165100097656,10.230645751953148,-45.0,-65.0
PNU,1993,11,11,0.0010847291946411133,10.369134521484398,-45.0,-62.5
PNU,1993,11,11,0.0009790576100349427,9.395318603515648,-45.0,-60.0
PNU,1993,11,11,0.001158482551574707,8.264215087890648,-45.0,-57.5
PNU,1993,11,11,0.0011585214138031005,8.238214111328148,-45.0,-55.0
PNU,1993,11,11,0.0018928525447845458,10.971765136718773,-42.5,-67.5
PNU,1993,11,11,0.0017184183597564698,13.610253906250023,-42.5,-65.0
PNU,1993,11,11,0.0010499470233917235,12.074761962890648,-42.5,-62.5
PNU,1993,11,11,0.0009859842658042908,11.152978515625023,-42.5,-60.0
PNU,1993,11,11,0.00127158260345459,10.135308837890648,-42.5,-57.5
PNU,1993,11,11,0.0012716116905212402,10.117181396484398,-42.5,-55.0
PNU,1993,11,11,0.0015708268880844116,11.959375000000023,-40.0,-67.5
PNU,1993,11,11,0.001849674344062805,15.128656005859398,-40.0,-65.0
PNU,1993,11,11,0.0013178938627243042,14.338555908203148,-40.0,-62.5
PNU,1993,11,11,0.0013226736783981323,13.354974365234398,-40.0,-60.0
PNU,1993,11,11,0.0015133038759231568,12.265588378906273,-40.0,-57.5
PNU,1993,11,11,0.0015133143663406373,12.253442382812523,-40.0,-55.0
PNU,1993,11,11,0.0014087870121002198,12.916406250000023,-37.5,-67.5
PNU,1993,11,11,0.002094899892807007,16.338342285156273,-37.5,-65.0
PNU,1993,11,11,0.002011391639709473,18.038629150390648,-37.5,-62.5
PNU,1993,11,11,0.0023284912109375,17.987817382812523,-37.5,-60.0
PNU,1993,11,11,0.0016212443113327027,13.570550537109398,-37.5,-57.5
PNU,1993,11,11,0.0016212410926818848,13.552453613281273,-37.5,-55.0
PNU,1993,11,11,0.0012342394590377807,13.977593994140648,-35.0,-67.5
PNU,1993,11,11,0.003212902069091797,16.728173828125023,-35.0,-65.0
PNU,1993,11,11,0.002896533012390137,18.679895019531273,-35.0,-62.5
PNU,1993,11,11,0.0026550991535186767,19.124932861328148,-35.0,-60.0
PNU,1993,11,11,0.0029901719093322755,19.328454589843773,-35.0,-57.5
PNU,1993,11,11,0.0029901695251464844,19.322259521484398,-35.0,-55.0
PNU,1993,11,11,0.0007242770195007325,15.261193847656273,-32.5,-67.5
PNU,1993,11,11,0.0049132628440856935,17.803735351562523,-32.5,-65.0
PNU,1993,11,11,0.003458130598068237,19.036614990234398,-32.5,-62.5
PNU,1993,11,11,0.0026465120315551757,19.791345214843773,-32.5,-60.0
PNU,1993,11,11,0.0028443870544433594,19.818627929687523,-32.5,-57.5
PNU,1993,11,11,0.002844388484954834,19.818261718750023,-32.5,-55.0
PNU,1993,11,11,0.0004774705171585083,15.202569580078148,-30.0,-67.5
PNU,1993,11,11,0.006956947326660156,18.207879638671898,-30.0,-65.0
PNU,1993,11,11,0.0038928000926971434,20.237054443359398,-30.0,-62.5
PNU,1993,11,11,0.003417086839675903,20.382775878906273,-30.0,-60.0
PNU,1993,11,11,0.003707291603088379,20.296777343750023,-30.0,-57.5
PNU,1993,11,11,0.003707291841506958,20.296075439453148,-30.0,-55.0
PNU,1994,11,11,0.0023918986320495606,9.417260742187523,-45.0,-67.5
PNU,1994,11,11,0.0015813148021697999,9.832177734375023,-45.0,-65.0
PNU,1994,11,11,0.0012755584716796875,9.957971191406273,-45.0,-62.5
PNU,1994,11,11,0.0011922566890716552,9.032006835937523,-45.0,-60.0
PNU,1994,11,11,0.0013185049295425415,7.944329833984398,-45.0,-57.5
PNU,1994,11,11,0.0013185315132141114,7.921105957031273,-45.0,-55.0
PNU,1994,11,11,0.001950447678565979,10.231378173828148,-42.5,-67.5
PNU,1994,11,11,0.0017546498775482177,13.122491455078148,-42.5,-65.0
PNU,1994,11,11,0.0011358098983764648,11.839593505859398,-42.5,-62.5
PNU,1994,11,11,0.001010655164718628,10.881555175781273,-42.5,-60.0
PNU,1994,11,11,0.0012289096117019654,9.901879882812523,-42.5,-57.5
PNU,1994,11,11,0.001228930354118347,9.885827636718773,-42.5,-55.0
PNU,1994,11,11,0.0013416399955749512,11.106500244140648,-40.0,-67.5
PNU,1994,11,11,0.0015086582899093628,14.565881347656273,-40.0,-65.0
PNU,1994,11,11,0.0011370542049407959,14.106500244140648,-40.0,-62.5
PNU,1994,11,11,0.0012206078767776488,13.261163330078148,-40.0,-60.0
PNU,1994,11,11,0.001457291841506958,12.371606445312523,-40.0,-57.5
PNU,1994,11,11,0.001457300901412964,12.362573242187523,-40.0,-55.0
PNU,1994,11,11,0.0011972999572753907,12.037164306640648,-37.5,-67.5
PNU,1994,11,11,0.001810835838317871,15.893945312500023,-37.5,-65.0
PNU,1994,11,11,0.0015695877075195314,17.918206787109398,-37.5,-62.5
PNU,1994,11,11,0.002050491809844971,18.054772949218773,-37.5,-60.0
PNU,1994,11,11,0.0017078107595443726,14.301995849609398,-37.5,-57.5
PNU,1994,11,11,0.0017078107595443726,14.287530517578148,-37.5,-55.0
PNU,1994,11,11,0.0010008715391159057,13.359063720703148,-35.0,-67.5
PNU,1994,11,11,0.0026708593368530275,16.491967773437523,-35.0,-65.0
PNU,1994,11,11,0.0024001059532165526,18.798944091796898,-35.0,-62.5
PNU,1994,11,11,0.002239084243774414,19.307031250000023,-35.0,-60.0
PNU,1994,11,11,0.0026103453636169434,19.574761962890648,-35.0,-57.5
PNU,1994,11,11,0.002610344409942627,19.568872070312523,-35.0,-55.0
PNU,1994,11,11,0.0006442162394523621,14.865533447265648,-32.5,-67.5
PNU,1994,11,11,0.004121313095092774,17.825097656250023,-32.5,-65.0
PNU,1994,11,11,0.003043555498123169,19.305291748046898,-32.5,-62.5
PNU,1994,11,11,0.0024026594161987306,19.983544921875023,-32.5,-60.0
PNU,1994,11,11,0.0027228326797485354,19.993493652343773,-32.5,-57.5
PNU,1994,11,11,0.00272283411026001,19.993371582031273,-32.5,-55.0
PNU,1994,11,11,0.0006568365097045899,14.986871337890648,-30.0,-67.5
PNU,1994,11,11,0.006583013534545898,18.259423828125023,-30.0,-65.0
PNU,1994,11,11,0.003692709445953369,20.384790039062523,-30.0,-62.5
PNU,1994,11,11,0.00311580491065979,20.409600830078148,-30.0,-60.0
PNU,1994,11,11,0.0035146498680114747,20.496209716796898,-30.0,-57.5
PNU,1994,11,11,0.003514650583267212,20.496331787109398,-30.0,-55.0
PNU,1995,11,11,0.002266129732131958,10.111016845703148,-45.0,-67.5
PNU,1995,11,11,0.0013903347253799438,9.891839599609398,-45.0,-65.0
PNU,1995,11,11,0.0011666154861450196,10.136468505859398,-45.0,-62.5
PNU,1995,11,11,0.0011476116180419921,9.161523437500023,-45.0,-60.0
PNU,1995,11,11,0.0013107305765151977,8.158349609375023,-45.0,-57.5
PNU,1995,11,11,0.0013107542991638184,8.133172607421898,-45.0,-55.0
PNU,1995,11,11,0.001867217779159546,11.144036865234398,-42.5,-67.5
PNU,1995,11,11,0.0014975507259368896,13.934503173828148,-42.5,-65.0
PNU,1995,11,11,0.0009501360058784485,11.743859863281273,-42.5,-62.5
PNU,1995,11,11,0.0009495269656181335,10.901269531250023,-42.5,-60.0
PNU,1995,11,11,0.0010739628076553345,9.842553710937523,-42.5,-57.5
PNU,1995,11,11,0.0010739737749099732,9.824273681640648,-42.5,-55.0
PNU,1995,11,11,0.0013315080404281616,12.100549316406273,-40.0,-67.5
PNU,1995,11,11,0.001495168924331665,15.409478759765648,-40.0,-65.0
PNU,1995,11,11,0.0010764964818954469,14.076623535156273,-40.0,-62.5
PNU,1995,11,11,0.001070028305053711,13.119348144531273,-40.0,-60.0
PNU,1995,11,11,0.0011675258874893188,12.156427001953148,-40.0,-57.5
PNU,1995,11,11,0.0011675312519073486,12.146203613281273,-40.0,-55.0
PNU,1995,11,11,0.0010859111547470092,12.915277099609398,-37.5,-67.5
PNU,1995,11,11,0.0018872822523117066,16.423089599609398,-37.5,-65.0
PNU,1995,11,11,0.0017660467624664308,18.406304931640648,-37.5,-62.5
PNU,1995,11,11,0.001883612036705017,18.472100830078148,-37.5,-60.0
PNU,1995,11,11,0.0013839900493621826,14.568963623046898,-37.5,-57.5
PNU,1995,11,11,0.0013839893341064454,14.552484130859398,-37.5,-55.0
PNU,1995,11,11,0.0009303266406059265,13.987390136718773,-35.0,-67.5
PNU,1995,11,11,0.0026452136039733887,16.880273437500023,-35.0,-65.0
PNU,1995,11,11,0.002114619493484497,19.214624023437523,-35.0,-62.5
PNU,1995,11,11,0.0019885048866271973,19.770074462890648,-35.0,-60.0
PNU,1995,11,11,0.0023182883262634277,20.016900634765648,-35.0,-57.5
PNU,1995,11,11,0.0023182871341705324,20.010003662109398,-35.0,-55.0
PNU,1995,11,11,0.0007810776233673096,15.330773925781273,-32.5,-67.5
PNU,1995,11,11,0.0036359622478485108,18.149652099609398,-32.5,-65.0
PNU,1995,11,11,0.0025816524028778078,19.629693603515648,-32.5,-62.5
PNU,1995,11,11,0.0021684155464172365,20.425073242187523,-32.5,-60.0
PNU,1995,11,11,0.0026999218463897704,20.357537841796898,-32.5,-57.5
PNU,1995,11,11,0.0026999232769012453,20.356805419921898,-32.5,-55.0
PNU,1995,11,11,0.0007917013168334961,15.096337890625023,-30.0,-67.5
PNU,1995,11,11,0.005599624633789062,18.243554687500023,-30.0,-65.0
PNU,1995,11,11,0.0033580975532531737,20.434106445312523,-30.0,-62.5
PNU,1995,11,11,0.0032816014289855956,20.530541992187523,-30.0,-60.0
PNU,1995,11,11,0.0034226205348968507,20.481988525390648,-30.0,-57.5
PNU,1995,11,11,0.003422621011734009,20.481713867187523,-30.0,-55.0
PNU,1996,11,11,0.002210484981536865,10.199273681640648,-45.0,-67.5
PNU,1996,11,11,0.0013359403610229493,10.340997314453148,-45.0,-65.0
PNU,1996,11,11,0.001062888503074646,10.509545898437523,-45.0,-62.5
PNU,1996,11,11,0.0011351355314254761,9.638391113281273,-45.0,-60.0
PNU,1996,11,11,0.001354512095451355,8.592645263671898,-45.0,-57.5
PNU,1996,11,11,0.0013545507192611694,8.570001220703148,-45.0,-55.0
PNU,1996,11,11,0.0019493881464004517,11.393090820312523,-42.5,-67.5
PNU,1996,11,11,0.001777483582496643,14.288140869140648,-42.5,-65.0
PNU,1996,11,11,0.0009983892440795898,12.362145996093773,-42.5,-62.5
PNU,1996,11,11,0.0009293027520179748,11.555261230468773,-42.5,-60.0
PNU,1996,11,11,0.0010632627010345459,10.506097412109398,-42.5,-57.5
PNU,1996,11,11,0.0010632762908935546,10.488946533203148,-42.5,-55.0
PNU,1996,11,11,0.0013189592361450195,12.728082275390648,-40.0,-67.5
PNU,1996,11,11,0.0017197544574737548,16.219628906250023,-40.0,-65.0
PNU,1996,11,11,0.0011496808528900146,14.899316406250023,-40.0,-62.5
PNU,1996,11,11,0.0010217483043670655,13.908288574218773,-40.0,-60.0
PNU,1996,11,11,0.001065998673439026,13.005548095703148,-40.0,-57.5
PNU,1996,11,11,0.0010660037994384766,12.996453857421898,-40.0,-55.0
PNU,1996,11,11,0.00103849458694458,14.120599365234398,-37.5,-67.5
PNU,1996,11,11,0.0017044578790664673,17.796166992187523,-37.5,-65.0
PNU,1996,11,11,0.001718432307243347,19.563287353515648,-37.5,-62.5
PNU,1996,11,11,0.0018522838354110718,19.708093261718773,-37.5,-60.0
PNU,1996,11,11,0.0010772918462753295,15.558374023437523,-37.5,-57.5
PNU,1996,11,11,0.0010772892236709595,15.540521240234398,-37.5,-55.0
PNU,1996,11,11,0.0009994572401046753,14.980371093750023,-35.0,-67.5
PNU,1996,11,11,0.002970553159713745,17.989892578125023,-35.0,-65.0
PNU,1996,11,11,0.0025108792781829833,20.349847412109398,-35.0,-62.5
PNU,1996,11,11,0.002052372694015503,20.997979736328148,-35.0,-60.0
PNU,1996,11,11,0.0019155126810073853,21.278161621093773,-35.0,-57.5
PNU,1996,11,11,0.0019155099391937255,21.269219970703148,-35.0,-55.0
PNU,1996,11,11,0.001038068413734436,15.925897216796898,-32.5,-67.5
PNU,1996,11,11,0.004118429660797119,18.832513427734398,-32.5,-65.0
PNU,1996,11,11,0.002982260465621948,20.338769531250023,-32.5,-62.5
PNU,1996,11,11,0.002675715684890747,21.227075195312523,-32.5,-60.0
PNU,1996,11,11,0.0024528920650482176,21.284417724609398,-32.5,-57.5
PNU,1996,11,11,0.0024528923034667968,21.283990478515648,-32.5,-55.0
PNU,1996,11,11,0.0009546244144439698,15.550866699218773,-30.0,-67.5
PNU,1996,11,11,0.0064661259651184085,18.737298583984398,-30.0,-65.0
PNU,1996,11,11,0.0034077508449554443,20.901940917968773,-30.0,-62.5
PNU,1996,11,11,0.00385468053817749,21.104028320312523,-30.0,-60.0
PNU,1996,11,11,0.003393774509429932,21.273004150390648,-30.0,-57.5
PNU,1996,11,11,0.003393774509429932,21.273645019531273,-30.0,-55.0
PNU,1997,11,11,0.0029376866817474364,9.759545898437523,-45.0,-67.5
PNU,1997,11,11,0.0018128819465637208,10.174066162109398,-45.0,-65.0
PNU,1997,11,11,0.0013948014974594115,10.320947265625023,-45.0,-62.5
PNU,1997,11,11,0.0013818120956420898,9.262536621093773,-45.0,-60.0
PNU,1997,11,11,0.001726197361946106,8.114495849609398,-45.0,-57.5
PNU,1997,11,11,0.001726254940032959,8.088281250000023,-45.0,-55.0
PNU,1997,11,11,0.002585168123245239,10.596704101562523,-42.5,-67.5
PNU,1997,11,11,0.0029471631050109865,13.035302734375023,-42.5,-65.0
PNU,1997,11,11,0.0016286758184432984,12.050164794921898,-42.5,-62.5
PNU,1997,11,11,0.0014237847328186035,11.080712890625023,-42.5,-60.0
PNU,1997,11,11,0.0017119007110595703,10.048486328125023,-42.5,-57.5
PNU,1997,11,11,0.0017119227647781371,10.030206298828148,-42.5,-55.0
PNU,1997,11,11,0.0019369709491729736,11.424066162109398,-40.0,-67.5
PNU,1997,11,11,0.002746631383895874,14.349603271484398,-40.0,-65.0
PNU,1997,11,11,0.001938625454902649,14.195581054687523,-40.0,-62.5
PNU,1997,11,11,0.0018171147108078003,13.181542968750023,-40.0,-60.0
PNU,1997,11,11,0.0019198998212814331,12.277337646484398,-40.0,-57.5
PNU,1997,11,11,0.0019199084043502808,12.268121337890648,-40.0,-55.0
PNU,1997,11,11,0.0017202261686325073,12.008416748046898,-37.5,-67.5
PNU,1997,11,11,0.0028470470905303954,15.232446289062523,-37.5,-65.0
PNU,1997,11,11,0.0029598069190979004,16.868707275390648,-37.5,-62.5
PNU,1997,11,11,0.003107849359512329,16.780541992187523,-37.5,-60.0
PNU,1997,11,11,0.002285395622253418,14.486901855468773,-37.5,-57.5
PNU,1997,11,11,0.0022853927612304687,14.477746582031273,-37.5,-55.0
