name,time,year,month,rain,tmean
buenos aires coronel dorrego,1993-08-01,1993,8,0.00020374681,10.111881510416689
buenos aires coronel dorrego,1993-09-01,1993,9,0.0006287616,11.635530598958356
buenos aires coronel dorrego,1993-10-01,1993,10,0.0018863641,14.788216145833356
buenos aires coronel dorrego,1993-11-01,1993,11,0.0029613657,16.469661458333356
buenos aires coronel dorrego,1994-08-01,1994,8,0.0012941802,9.101888020833355
buenos aires coronel dorrego,1994-09-01,1994,9,0.0008188242,11.997054036458357
buenos aires coronel dorrego,1994-10-01,1994,10,0.0018797679,13.50704752604169
buenos aires coronel dorrego,1994-11-01,1994,11,0.0017442522,19.33691406250002
buenos aires coronel dorrego,1995-08-01,1995,8,0.0010596452,8.55362955729169
buenos aires coronel dorrego,1995-09-01,1995,9,0.0005364235,11.863720703125022
buenos aires coronel dorrego,1995-10-01,1995,10,0.0020090626,14.151692708333355
buenos aires coronel dorrego,1995-11-01,1995,11,0.0033043316,18.02254231770836
buenos aires coronel dorrego,1996-08-01,1996,8,0.0034063293,11.399055989583356
buenos aires coronel dorrego,1996-09-01,1996,9,0.00063169876,11.58082682291669
buenos aires coronel dorrego,1996-10-01,1996,10,0.0036751789,15.139143880208357
buenos aires coronel dorrego,1996-11-01,1996,11,0.0030385004,18.580712890625023
buenos aires coronel dorrego,1997-08-01,1997,8,0.0012508767,9.445686848958356
buenos aires coronel dorrego,1997-09-01,1997,9,0.0013247018,10.045312500000025
buenos aires coronel dorrego,1997-10-01,1997,10,0.0032858562,13.814274088541689
buenos aires coronel dorrego,1997-11-01,1997,11,0.0021128533,16.640755208333356
buenos aires coronel dorrego,1998-08-01,1998,8,0.0007986744,10.257145182291689
buenos aires coronel dorrego,1998-09-01,1998,9,0.004086211,10.50680338541669
buenos aires coronel dorrego,1998-10-01,1998,10,0.000655216,16.65226236979169
buenos aires coronel dorrego,1998-11-01,1998,11,0.0022639402,18.41985677083336
buenos aires coronel dorrego,1999-08-01,1999,8,0.0016386333,10.206591796875022
