year,harvested area [ha],yield [kg/ha],yield_trend [kg/ha],yield anomaly [%]
1993,4685700,2037.439151033997,2136.0630223208136,-0.046170862121690914
1994,5070920,2185.741997507356,2146.8038279583925,0.01813773994710706
1995,4741300,1946.759707253285,2168.523053433979,-0.10226469385673315
1996,6792010,2260.47032027338,2171.5085159853406,0.04096774368286191
1997,5499815,2623.2529203255017,2230.822637410027,0.17591281186346772
1998,5170180,2304.962651203633,2321.051135095797,-0.006931550817168792
1999,5788800,2505.6008274599226,2362.9473041036254,0.06037101339863026
2000,5940380,2551.682570811968,2441.0557112689276,0.045319268639523895
2001,6133090,2275.1079455869717,2481.606925184373,-0.08321180018550242
2002,5227370,2098.312168451822,2497.960169808488,-0.1599897413045245
2003,4957013,2687.6983520115846,2473.21800262139,0.0867211661741361
2004,5402465,2768.3673897008125,2531.9963512603717,0.0933536252225563
2005,4376425,2652.504506303661,2576.3745286403937,0.02954926654372826
2006,4731745,2802.152801978974,2649.5433706727345,0.05759838959250214
2007,5145237,2964.9821230781013,2719.9113667663914,0.09010247881829546
2008,3780920,2024.453890851962,2853.9932728186395,-0.29065919316180244
2009,2830630,2970.2970292832338,2748.0112158262637,0.08088970386175585
2010,3518295,3933.646838880765,2817.811798584633,0.39599345877414804
2011,3500490,3647.9266659810482,3051.501163999681,0.19545314582138879
2012,2455476,2958.105831211545,3207.064167857272,-0.07762811207237638
2013,3281255,2707.197486937163,3227.1541172384605,-0.16111924358488175
2014,4537075,2892.8454356606403,3191.256922437111,-0.09350907621332431
2015,3185839,3101.3679718278295,3205.247985860653,-0.032409353189229224
2016,4740100,3477.431893841902,3262.1026155367435,0.06600935153896999
2017,4606270,3509.368588901649,3346.0565774104325,0.04880730726245117
2018,5168794,3383.6193822001806,3433.1441658297554,-0.014425489066989176
2019,5543694,3052.327504007256,3459.052299207964,-0.11758272498332506
2020,5549079,2909.162980018846,3441.305664444546,-0.1546339489466978
2021,5452487,3713.060722932489,3425.119323730949,0.08406755268540206
