year,province,municipality,harvested area [ha],production [t],yield [kg/ha]
1969,BUENOS AIRES,25 DE MAYO,42000,71400,1700
1970,BUENOS AIRES,25 DE MAYO,36000,54000,1500
1971,BUENOS AIRES,25 DE MAYO,30000,39000,1300
1972,BUENOS AIRES,25 DE MAYO,41000,73600,1795
1973,BUENOS AIRES,25 DE MAYO,6000,9000,1500
1974,BUENOS AIRES,25 DE MAYO,26000,39000,1500
1975,BUENOS AIRES,25 DE MAYO,10000,14000,1400
1976,BUENOS AIRES,25 DE MAYO,18000,27000,1500
1977,BUENOS AIRES,25 DE MAYO,13300,16000,1203
1978,BUENOS AIRES,25 DE MAYO,11200,14560,1300
1979,BUENOS AIRES,25 DE MAYO,20000,22000,1100
1980,BUENOS AIRES,25 DE MAYO,12470,22452,1800
1981,BUENOS AIRES,25 DE MAYO,24300,40000,1646
1982,BUENOS AIRES,25 DE MAYO,26000,41600,1600
1983,BUENOS AIRES,25 DE MAYO,30000,60000,2000
1984,BUENOS AIRES,25 DE MAYO,28000,56000,2000
1985,BUENOS AIRES,25 DE MAYO,25000,30000,1200
1986,BUENOS AIRES,25 DE MAYO,22400,40000,1786
1987,BUENOS AIRES,25 DE MAYO,10800,18550,1718
1988,BUENOS AIRES,25 DE MAYO,28000,55000,1964
1989,BUENOS AIRES,25 DE MAYO,32000,60100,1878
1990,BUENOS AIRES,25 DE MAYO,38400,84500,2201
1991,BUENOS AIRES,25 DE MAYO,21000,48300,2300
1992,BUENOS AIRES,25 DE MAYO,16800,43700,2601
1993,BUENOS AIRES,25 DE MAYO,14000,28000,2000
1994,BUENOS AIRES,25 DE MAYO,40000,124000,3100
1995,BUENOS AIRES,25 DE MAYO,37500,108800,2901
1996,BUENOS AIRES,25 DE MAYO,56600,226400,4000
1997,BUENOS AIRES,25 DE MAYO,35100,115800,3299
1998,BUENOS AIRES,25 DE MAYO,32600,121000,3712
1999,BUENOS AIRES,25 DE MAYO,37500,124000,3307
2000,BUENOS AIRES,25 DE MAYO,30800,89000,2890
2001,BUENOS AIRES,25 DE MAYO,13600,23200,1706
2002,BUENOS AIRES,25 DE MAYO,11830,23660,2000
2003,BUENOS AIRES,25 DE MAYO,12480,48670,3900
2004,BUENOS AIRES,25 DE MAYO,16350,67040,4100
