year,name,harvested area [ha],yield [kg/ha]
1969,buenos aires 25 de mayo,42000,1700
1970,buenos aires 25 de mayo,36000,1500
1971,buenos aires 25 de mayo,30000,1300
1972,buenos aires 25 de mayo,41000,1795
1973,buenos aires 25 de mayo,6000,1500
1974,buenos aires 25 de mayo,26000,1500
1975,buenos aires 25 de mayo,10000,1400
1976,buenos aires 25 de mayo,18000,1500
1977,buenos aires 25 de mayo,13300,1203
1978,buenos aires 25 de mayo,11200,1300
1979,buenos aires 25 de mayo,20000,1100
1980,buenos aires 25 de mayo,12470,1800
1981,buenos aires 25 de mayo,24300,1646
1982,buenos aires 25 de mayo,26000,1600
1983,buenos aires 25 de mayo,30000,2000
1984,buenos aires 25 de mayo,28000,2000
1985,buenos aires 25 de mayo,25000,1200
1986,buenos aires 25 de mayo,22400,1786
1987,buenos aires 25 de mayo,10800,1718
1988,buenos aires 25 de mayo,28000,1964
1989,buenos aires 25 de mayo,32000,1878
1990,buenos aires 25 de mayo,38400,2201
1991,buenos aires 25 de mayo,21000,2300
1992,buenos aires 25 de mayo,16800,2601
1993,buenos aires 25 de mayo,14000,2000
1994,buenos aires 25 de mayo,40000,3100
1995,buenos aires 25 de mayo,37500,2901
1996,buenos aires 25 de mayo,56600,4000
1997,buenos aires 25 de mayo,35100,3299
1998,buenos aires 25 de mayo,32600,3712
1999,buenos aires 25 de mayo,37500,3307
2000,buenos aires 25 de mayo,30800,2890
2001,buenos aires 25 de mayo,13600,1706
2002,buenos aires 25 de mayo,11830,2000
2003,buenos aires 25 de mayo,12480,3900
2004,buenos aires 25 de mayo,16350,4100
2005,buenos aires 25 de mayo,17800,4500
2006,buenos aires 25 de mayo,23000,4500
2007,buenos aires 25 de mayo,25150,3600
2008,buenos aires 25 de mayo,22000,3600
2009,buenos aires 25 de mayo,15320,736
2010,buenos aires 25 de mayo,19000,4544
2011,buenos aires 25 de mayo,21000,4700
2012,buenos aires 25 de mayo,12000,2800
2013,buenos aires 25 de mayo,11000,3900
2014,buenos aires 25 de mayo,25910,3700
2015,buenos aires 25 de mayo,6200,3000
2016,buenos aires 25 de mayo,43060,3700
2017,buenos aires 25 de mayo,37340,3950
2018,buenos aires 25 de mayo,40986,3700
2019,buenos aires 25 de mayo,41238,3709
2020,buenos aires 25 de mayo,49119,3900
2021,buenos aires 25 de mayo,55030,3999
1969,buenos aires 9 de julio,33000,1800
1970,buenos aires 9 de julio,31400,1592
1971,buenos aires 9 de julio,28000,1500
1972,buenos aires 9 de julio,28000,1650
1973,buenos aires 9 de julio,7500,1707
1974,buenos aires 9 de julio,17000,1800
1975,buenos aires 9 de julio,12000,1400
1976,buenos aires 9 de julio,38250,2000
1977,buenos aires 9 de julio,22000,1364
1978,buenos aires 9 de julio,18500,1784
1979,buenos aires 9 de julio,21050,2000
1980,buenos aires 9 de julio,32000,2563
1981,buenos aires 9 de julio,50000,2200
1982,buenos aires 9 de julio,62000,2500
1983,buenos aires 9 de julio,50000,2400
1984,buenos aires 9 de julio,47000,2600
1985,buenos aires 9 de julio,40400,1300
1986,buenos aires 9 de julio,37000,1914
1987,buenos aires 9 de julio,10000,1990
1988,buenos aires 9 de julio,22000,2500
1989,buenos aires 9 de julio,30000,2100
1990,buenos aires 9 de julio,42000,2900
1991,buenos aires 9 de julio,31000,2800
1992,buenos aires 9 de julio,52000,2900
1993,buenos aires 9 de julio,44000,2300
1994,buenos aires 9 de julio,51700,3300
1995,buenos aires 9 de julio,58000,3150
1996,buenos aires 9 de julio,79700,3700
1997,buenos aires 9 de julio,49000,3100
1998,buenos aires 9 de julio,29000,3621
1999,buenos aires 9 de julio,46000,3576
2000,buenos aires 9 de julio,25000,2500
2001,buenos aires 9 de julio,9500,2211
2002,buenos aires 9 de julio,15000,2000
2003,buenos aires 9 de julio,11800,3000
2004,buenos aires 9 de julio,24000,4200
2005,buenos aires 9 de julio,23000,4000
2006,buenos aires 9 de julio,27000,4000
2007,buenos aires 9 de julio,26500,3200
2008,buenos aires 9 de julio,20000,2500
2009,buenos aires 9 de julio,13460,3282
2010,buenos aires 9 de julio,20000,5680
2011,buenos aires 9 de julio,13000,5000
2012,buenos aires 9 de julio,5670,3000
2013,buenos aires 9 de julio,8000,4800
2014,buenos aires 9 de julio,12350,4100
2015,buenos aires 9 de julio,7200,4000
2016,buenos aires 9 de julio,51690,4200
2017,buenos aires 9 de julio,48820,5000
2018,buenos aires 9 de julio,64601,4000
2019,buenos aires 9 de julio,45500,4500
2020,buenos aires 9 de julio,60010,4200
2021,buenos aires 9 de julio,67211,4899
1969,buenos aires adolfo alsina,110000,1300
1970,buenos aires adolfo alsina,99000,727
1971,buenos aires adolfo alsina,106000,1200
1972,buenos aires adolfo alsina,110000,1700
1973,buenos aires adolfo alsina,85000,1802
1974,buenos aires adolfo alsina,85000,1200
1975,buenos aires adolfo alsina,96000,1400
1976,buenos aires adolfo alsina,119000,1582
1977,buenos aires adolfo alsina,70200,1100
1978,buenos aires adolfo alsina,83000,1600
1979,buenos aires adolfo alsina,87480,1692
1980,buenos aires adolfo alsina,70000,1214
1981,buenos aires adolfo alsina,100000,1400
1982,buenos aires adolfo alsina,118000,1942
1983,buenos aires adolfo alsina,119000,1800
1984,buenos aires adolfo alsina,120000,2300
1985,buenos aires adolfo alsina,90000,1633
1986,buenos aires adolfo alsina,96600,1792
1987,buenos aires adolfo alsina,90000,1810
1988,buenos aires adolfo alsina,72000,1389
1989,buenos aires adolfo alsina,105000,1810
1990,buenos aires adolfo alsina,110000,1500
1991,buenos aires adolfo alsina,80000,1750
1992,buenos aires adolfo alsina,36600,1399
1993,buenos aires adolfo alsina,68000,2150
1994,buenos aires adolfo alsina,90000,1850
1995,buenos aires adolfo alsina,84000,1650
1996,buenos aires adolfo alsina,103300,1751
1997,buenos aires adolfo alsina,85000,2300
1998,buenos aires adolfo alsina,80000,1875
1999,buenos aires adolfo alsina,88500,1420
2000,buenos aires adolfo alsina,94000,2819
2001,buenos aires adolfo alsina,100500,2199
2002,buenos aires adolfo alsina,105000,2200
2003,buenos aires adolfo alsina,89000,1500
2004,buenos aires adolfo alsina,98000,2400
2005,buenos aires adolfo alsina,69400,1499
2006,buenos aires adolfo alsina,59600,1800
2007,buenos aires adolfo alsina,81500,2798
2008,buenos aires adolfo alsina,94000,1302
2009,buenos aires adolfo alsina,73300,1157
2010,buenos aires adolfo alsina,94600,2838
2011,buenos aires adolfo alsina,103600,2798
2012,buenos aires adolfo alsina,79050,3097
2013,buenos aires adolfo alsina,96600,2001
2014,buenos aires adolfo alsina,105600,2698
2015,buenos aires adolfo alsina,85000,2699
2016,buenos aires adolfo alsina,82110,2898
2017,buenos aires adolfo alsina,75600,2499
2018,buenos aires adolfo alsina,81600,2999
2019,buenos aires adolfo alsina,95100,2101
2020,buenos aires adolfo alsina,82600,2799
2021,buenos aires adolfo alsina,120600,3399
1969,buenos aires adolfo gonzales chaves,43000,1750
1970,buenos aires adolfo gonzales chaves,50700,1389
1971,buenos aires adolfo gonzales chaves,47000,1400
1972,buenos aires adolfo gonzales chaves,51000,1863
1973,buenos aires adolfo gonzales chaves,38300,1799
1974,buenos aires adolfo gonzales chaves,47700,1600
1975,buenos aires adolfo gonzales chaves,60000,1550
1976,buenos aires adolfo gonzales chaves,66000,1760
1977,buenos aires adolfo gonzales chaves,47000,1489
1978,buenos aires adolfo gonzales chaves,63500,2000
1979,buenos aires adolfo gonzales chaves,64000,2000
1980,buenos aires adolfo gonzales chaves,85800,1760
1981,buenos aires adolfo gonzales chaves,81300,1095
1982,buenos aires adolfo gonzales chaves,80000,2400
1983,buenos aires adolfo gonzales chaves,77000,1982
1984,buenos aires adolfo gonzales chaves,73000,2351
1985,buenos aires adolfo gonzales chaves,55000,1700
1986,buenos aires adolfo gonzales chaves,63200,2119
1987,buenos aires adolfo gonzales chaves,65000,1900
1988,buenos aires adolfo gonzales chaves,63000,1492
1989,buenos aires adolfo gonzales chaves,75000,2267
1990,buenos aires adolfo gonzales chaves,53000,1057
1991,buenos aires adolfo gonzales chaves,63500,2422
1992,buenos aires adolfo gonzales chaves,60500,2831
1993,buenos aires adolfo gonzales chaves,59000,2695
1994,buenos aires adolfo gonzales chaves,66600,2940
1995,buenos aires adolfo gonzales chaves,73700,2429
1996,buenos aires adolfo gonzales chaves,103000,2342
1997,buenos aires adolfo gonzales chaves,112000,3531
1998,buenos aires adolfo gonzales chaves,124700,2245
1999,buenos aires adolfo gonzales chaves,141000,2601
2000,buenos aires adolfo gonzales chaves,154350,2993
2001,buenos aires adolfo gonzales chaves,116300,3052
2002,buenos aires adolfo gonzales chaves,112900,2495
2003,buenos aires adolfo gonzales chaves,122800,3497
2004,buenos aires adolfo gonzales chaves,124500,2960
2005,buenos aires adolfo gonzales chaves,111871,2906
2006,buenos aires adolfo gonzales chaves,113970,3071
2007,buenos aires adolfo gonzales chaves,102922,1794
2008,buenos aires adolfo gonzales chaves,91900,1808
2009,buenos aires adolfo gonzales chaves,95480,2305
2010,buenos aires adolfo gonzales chaves,82200,4135
2011,buenos aires adolfo gonzales chaves,70000,4279
2012,buenos aires adolfo gonzales chaves,27870,2707
2013,buenos aires adolfo gonzales chaves,52200,3756
2014,buenos aires adolfo gonzales chaves,62440,2597
2015,buenos aires adolfo gonzales chaves,33410,3600
2016,buenos aires adolfo gonzales chaves,48810,2700
2017,buenos aires adolfo gonzales chaves,44197,4000
2018,buenos aires adolfo gonzales chaves,47110,4201
2019,buenos aires adolfo gonzales chaves,50500,3216
2020,buenos aires adolfo gonzales chaves,56000,4564
2021,buenos aires adolfo gonzales chaves,40317,3762
1969,buenos aires alberti,20000,1700
1970,buenos aires alberti,15700,1783
1971,buenos aires alberti,14000,1500
1972,buenos aires alberti,17000,1700
1973,buenos aires alberti,6000,1600
1974,buenos aires alberti,6000,2000
1975,buenos aires alberti,7000,2000
1976,buenos aires alberti,8500,2300
1977,buenos aires alberti,8500,1335
1978,buenos aires alberti,4800,2100
1979,buenos aires alberti,5400,2296
1980,buenos aires alberti,19700,2284
1981,buenos aires alberti,30000,2167
1982,buenos aires alberti,35000,2500
1983,buenos aires alberti,30000,2300
1984,buenos aires alberti,20000,2100
1985,buenos aires alberti,17000,1400
1986,buenos aires alberti,18000,2072
1987,buenos aires alberti,18000,1994
1988,buenos aires alberti,18000,2200
1989,buenos aires alberti,20000,2500
1990,buenos aires alberti,15000,2900
1991,buenos aires alberti,11000,2800
1992,buenos aires alberti,13000,2900
1993,buenos aires alberti,15000,2200
1994,buenos aires alberti,16900,3302
1995,buenos aires alberti,17000,3500
1996,buenos aires alberti,22900,3799
1997,buenos aires alberti,21700,3300
1998,buenos aires alberti,19000,3737
1999,buenos aires alberti,23000,3661
2000,buenos aires alberti,16000,3000
2001,buenos aires alberti,7200,1806
2002,buenos aires alberti,10000,2200
2003,buenos aires alberti,11800,3300
2004,buenos aires alberti,12000,4000
2005,buenos aires alberti,12000,4500
2006,buenos aires alberti,11500,4100
2007,buenos aires alberti,11500,3200
2008,buenos aires alberti,10850,2900
2009,buenos aires alberti,18510,3727
2010,buenos aires alberti,7200,4131
2011,buenos aires alberti,11400,5000
2012,buenos aires alberti,13020,3000
2013,buenos aires alberti,12000,4200
2014,buenos aires alberti,4750,4101
2015,buenos aires alberti,10640,4000
2016,buenos aires alberti,24800,4200
2017,buenos aires alberti,25281,5000
2018,buenos aires alberti,23510,4000
2019,buenos aires alberti,16700,4500
2020,buenos aires alberti,22000,4200
2021,buenos aires alberti,24000,4900
1969,buenos aires arrecifes,8850,1600
1970,buenos aires arrecifes,5900,2203
1971,buenos aires arrecifes,6150,1480
1972,buenos aires arrecifes,9900,2162
1973,buenos aires arrecifes,4500,1300
1974,buenos aires arrecifes,4000,2050
1975,buenos aires arrecifes,7000,2100
1976,buenos aires arrecifes,8000,1700
1977,buenos aires arrecifes,5650,1699
1978,buenos aires arrecifes,6700,2200
1979,buenos aires arrecifes,8400,2452
1980,buenos aires arrecifes,26000,2462
1981,buenos aires arrecifes,32000,2188
1982,buenos aires arrecifes,33000,2800
1983,buenos aires arrecifes,31000,2000
1984,buenos aires arrecifes,31000,2500
1985,buenos aires arrecifes,30700,1596
1986,buenos aires arrecifes,26400,2011
1987,buenos aires arrecifes,25000,1900
1988,buenos aires arrecifes,20000,1800
1989,buenos aires arrecifes,10500,2552
1990,buenos aires arrecifes,13400,2201
1991,buenos aires arrecifes,5100,1902
1992,buenos aires arrecifes,6000,2550
1993,buenos aires arrecifes,12200,1803
1994,buenos aires arrecifes,6800,2647
1995,buenos aires arrecifes,10200,2804
1996,buenos aires arrecifes,22000,3000
1997,buenos aires arrecifes,14800,2703
1998,buenos aires arrecifes,9400,3085
1999,buenos aires arrecifes,11500,3174
2000,buenos aires arrecifes,9900,2626
2001,buenos aires arrecifes,11500,1913
2002,buenos aires arrecifes,7100,1900
2003,buenos aires arrecifes,6800,3100
2004,buenos aires arrecifes,7000,3300
2005,buenos aires arrecifes,6500,3600
2006,buenos aires arrecifes,18350,3800
2007,buenos aires arrecifes,18500,4300
2008,buenos aires arrecifes,13300,2300
2009,buenos aires arrecifes,7350,4506
2010,buenos aires arrecifes,6200,4234
2011,buenos aires arrecifes,6600,4500
2012,buenos aires arrecifes,4790,2800
2013,buenos aires arrecifes,4950,4100
2014,buenos aires arrecifes,4080,3500
2015,buenos aires arrecifes,12320,4000
2016,buenos aires arrecifes,21750,4400
2017,buenos aires arrecifes,21050,4300
2018,buenos aires arrecifes,21217,4400
2019,buenos aires arrecifes,25854,4000
2020,buenos aires arrecifes,25400,4000
2021,buenos aires arrecifes,25561,4800
1969,buenos aires ayacucho,3800,1500
1970,buenos aires ayacucho,3350,1791
1971,buenos aires ayacucho,3000,1200
1972,buenos aires ayacucho,3600,1583
1973,buenos aires ayacucho,2375,1701
1974,buenos aires ayacucho,1990,1628
1975,buenos aires ayacucho,3800,1600
1976,buenos aires ayacucho,3600,1300
1977,buenos aires ayacucho,2000,1585
1978,buenos aires ayacucho,1500,2500
1979,buenos aires ayacucho,300,1400
1980,buenos aires ayacucho,350,2286
1981,buenos aires ayacucho,600,1700
1982,buenos aires ayacucho,1200,2000
1983,buenos aires ayacucho,2500,2300
1984,buenos aires ayacucho,3000,3000
1985,buenos aires ayacucho,3300,1800
1986,buenos aires ayacucho,3600,2583
1987,buenos aires ayacucho,3500,1857
1988,buenos aires ayacucho,4900,3500
1989,buenos aires ayacucho,3000,2000
1990,buenos aires ayacucho,4000,1600
1991,buenos aires ayacucho,3500,1800
1992,buenos aires ayacucho,3400,1912
1993,buenos aires ayacucho,3600,1806
1994,buenos aires ayacucho,3800,2289
1995,buenos aires ayacucho,4500,2200
1996,buenos aires ayacucho,9800,2796
1997,buenos aires ayacucho,8200,3000
1998,buenos aires ayacucho,5500,2364
1999,buenos aires ayacucho,9600,2823
2000,buenos aires ayacucho,10750,2995
2001,buenos aires ayacucho,6600,2652
2002,buenos aires ayacucho,4400,1900
2003,buenos aires ayacucho,6200,3600
2004,buenos aires ayacucho,5880,3500
2005,buenos aires ayacucho,5450,3701
2006,buenos aires ayacucho,5400,3700
2007,buenos aires ayacucho,4800,2500
2008,buenos aires ayacucho,4240,2901
2009,buenos aires ayacucho,3440,3855
2010,buenos aires ayacucho,3750,4854
2011,buenos aires ayacucho,2970,4700
2012,buenos aires ayacucho,1000,3600
2013,buenos aires ayacucho,3800,4600
2014,buenos aires ayacucho,3320,3700
2015,buenos aires ayacucho,2700,4000
2016,buenos aires ayacucho,10240,3100
2017,buenos aires ayacucho,1345,3800
2018,buenos aires ayacucho,1600,4000
2019,buenos aires ayacucho,4800,3800
2020,buenos aires ayacucho,11800,4300
2021,buenos aires ayacucho,12000,4500
1969,buenos aires azul,16000,1900
1970,buenos aires azul,18100,1989
1971,buenos aires azul,21500,1400
1972,buenos aires azul,23000,2187
1973,buenos aires azul,14250,1902
1974,buenos aires azul,17775,2000
1975,buenos aires azul,33000,1800
1976,buenos aires azul,39200,1800
1977,buenos aires azul,19200,1250
1978,buenos aires azul,26000,2100
1979,buenos aires azul,22720,1193
1980,buenos aires azul,34000,1706
1981,buenos aires azul,60000,1600
1982,buenos aires azul,61100,2700
1983,buenos aires azul,58000,2483
1984,buenos aires azul,48000,3300
1985,buenos aires azul,60000,1400
1986,buenos aires azul,56000,2100
1987,buenos aires azul,45000,2062
1988,buenos aires azul,42000,2881
1989,buenos aires azul,40000,2200
1990,buenos aires azul,54900,2301
1991,buenos aires azul,54300,2400
1992,buenos aires azul,49500,2600
1993,buenos aires azul,54500,2600
1994,buenos aires azul,60500,2800
1995,buenos aires azul,55000,1800
1996,buenos aires azul,77800,3100
1997,buenos aires azul,66500,3650
1998,buenos aires azul,59500,2655
1999,buenos aires azul,67000,3134
2000,buenos aires azul,72000,3500
2001,buenos aires azul,70800,3037
2002,buenos aires azul,60500,2300
2003,buenos aires azul,62500,4100
2004,buenos aires azul,61700,3900
2005,buenos aires azul,57500,4200
2006,buenos aires azul,56000,4400
2007,buenos aires azul,44500,1810
2008,buenos aires azul,43140,3004
2009,buenos aires azul,33335,4685
2010,buenos aires azul,33095,5111
2011,buenos aires azul,29390,4905
2012,buenos aires azul,19200,3589
2013,buenos aires azul,25000,5147
2014,buenos aires azul,32300,3681
2015,buenos aires azul,31680,4094
2016,buenos aires azul,42780,3800
2017,buenos aires azul,45220,4200
2018,buenos aires azul,43546,4003
2019,buenos aires azul,52000,3406
2020,buenos aires azul,59180,4603
2021,buenos aires azul,45119,4196
1969,buenos aires bahia blanca,98000,1250
1970,buenos aires bahia blanca,60000,767
1971,buenos aires bahia blanca,85000,1047
1972,buenos aires bahia blanca,82000,1451
1973,buenos aires bahia blanca,77000,1039
1974,buenos aires bahia blanca,61200,899
1975,buenos aires bahia blanca,57000,900
1976,buenos aires bahia blanca,85500,1814
1977,buenos aires bahia blanca,47000,872
1978,buenos aires bahia blanca,72000,1435
1979,buenos aires bahia blanca,54000,1000
1980,buenos aires bahia blanca,52000,1658
1981,buenos aires bahia blanca,50000,600
1982,buenos aires bahia blanca,83000,1699
1983,buenos aires bahia blanca,91000,1529
1984,buenos aires bahia blanca,66800,2006
1985,buenos aires bahia blanca,66200,1900
1986,buenos aires bahia blanca,61000,1164
1987,buenos aires bahia blanca,60000,1500
1988,buenos aires bahia blanca,37000,1081
1989,buenos aires bahia blanca,43000,1279
1990,buenos aires bahia blanca,42000,1350
1991,buenos aires bahia blanca,38000,1400
1992,buenos aires bahia blanca,36000,2000
1993,buenos aires bahia blanca,40000,1800
1994,buenos aires bahia blanca,42000,1400
1995,buenos aires bahia blanca,19500,400
1996,buenos aires bahia blanca,65500,1201
1997,buenos aires bahia blanca,53500,2096
1998,buenos aires bahia blanca,52300,803
1999,buenos aires bahia blanca,49400,1174
2000,buenos aires bahia blanca,45500,1736
2001,buenos aires bahia blanca,52000,1846
2002,buenos aires bahia blanca,50500,1700
2003,buenos aires bahia blanca,42500,1201
2004,buenos aires bahia blanca,49500,2172
2005,buenos aires bahia blanca,35500,639
2006,buenos aires bahia blanca,39000,1149
2007,buenos aires bahia blanca,31800,1849
2008,buenos aires bahia blanca,15945,670
2009,buenos aires bahia blanca,15360,693
2010,buenos aires bahia blanca,17300,1383
2011,buenos aires bahia blanca,11900,1075
2012,buenos aires bahia blanca,6634,1300
2013,buenos aires bahia blanca,16100,2100
2014,buenos aires bahia blanca,15540,1700
2015,buenos aires bahia blanca,8480,2600
2016,buenos aires bahia blanca,14740,1900
2017,buenos aires bahia blanca,10940,1800
2018,buenos aires bahia blanca,12000,2800
2019,buenos aires bahia blanca,10148,1300
2020,buenos aires bahia blanca,16000,2200
2021,buenos aires bahia blanca,10747,1200
1969,buenos aires balcarce,62000,2210
1970,buenos aires balcarce,60000,2283
1971,buenos aires balcarce,64000,2184
1972,buenos aires balcarce,63000,2441
1973,buenos aires balcarce,49000,2347
1974,buenos aires balcarce,60000,2000
1975,buenos aires balcarce,55000,2200
1976,buenos aires balcarce,39500,1749
