year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires villarino_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.14007346105356416,0.8193650566659918,-0.44108953017004604,0.6725690537504802,0.08551076464446898,0.11797746187762718,1.3665915198421088,-0.579663147671963
1993,BOM,10,2037.439151033997,-0.0461708621216909,-0.7696340147902526,0.08987350383522483,-0.6784622283499472,-0.5396983497789276,0.42460221519730834,0.4184358337073323,-0.6725288681470262,-0.7511792552694492
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.503667083883825,-1.3101772531968536,-0.16649643956875793,1.4076344111942216,0.03596338617667556,-0.028128359604386737,-0.6725288681470262,-0.20769321521722744
1994,BOM,9,2185.741997507356,0.018137739947107,-0.2969614469636673,-2.4842592029412742,-0.7048925201351369,0.5325676568253151,0.10261889038075353,0.14263177165909613,0.14185599247222108,4.043736377611414
1994,BOM,10,2185.741997507356,0.018137739947107,0.36984766852794326,-0.4939613169591634,-0.675986332680432,-0.5464454845369797,-0.4561225836173251,-0.5696569468964892,-0.6495979428989257,1.0272837569941966
1994,BOM,11,2185.741997507356,0.018137739947107,-1.3092868652250147,0.14592407639860946,-0.6394432505637908,0.5042930121613065,0.10725070208692444,0.0136303138284218,-0.6495979428989257,-0.6576583993223636
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.3567513666896055,-0.08142508488399143,-0.5384018574755294,-0.6966522300893828,0.4131405091331456,0.431604643734538,-0.18180799637274841,-0.6537207925422738
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.8381923237184797,-0.14649228540941,0.5718628023579351,-0.6004044866518776,-0.010861022451341054,-0.14266863337323699,-0.2845898585412758,-0.6800150844538781
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.0769519882599108,-0.15922925778648303,-0.7014617289546453,-0.7047743591459229,0.4470985821796494,0.45235361290621257,-0.2845898585412758,-0.636334219667593
1996,BOM,9,2260.47032027338,0.0409677436828619,0.3957640399603789,-1.0356575538876447,0.780926127335919,1.238373382907761,-0.5627402516479599,-0.41929772874937643,-0.5782919583948571,-0.33839406149989504
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.5998927203466649,-0.646246925251708,1.3205895810484352,-0.5043403408294218,-0.018512890232986412,-0.3331567014936013,-0.3277967543467479,-0.27140893640503233
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0675973539638276,-0.7074613581088849,-0.6981130613842609,1.7260542236167145,-0.9554553838677217,-0.8111992916036107,-0.3277967543467479,-0.596364264240489
1997,BOM,9,2623.2529203255017,0.1759128118634677,0.17768589394573445,-4.99359205851809,7.847569133414788,1.4429931854610363,-5.960903702348792,-3.7025168615714352,6.903706685398672,3.1185337758878875
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.5162001024690218,-1.1492015408806375,7.417845608831682,1.0916662640219394,-5.350127223882843,-3.342960725689545,-0.556534215836245,0.42778547777170783
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.1760252216141756,-1.3529251291299853,7.458447757303468,1.1054201413154197,-1.6942548946637521,-2.229645235990753,-0.556534215836245,0.5266102606500745
1998,BOM,9,2304.962651203633,-0.0069315508171687,0.4764447021908396,-0.7312253345963016,-0.6630453740489831,0.21678550176698982,-0.8187300362635676,-0.8797712780987291,-0.34563837067040704,0.7981089715537818
1998,BOM,10,2304.962651203633,-0.0069315508171687,1.3841864596956193,0.7844104371907201,-0.6645298434488213,-0.6662987385747475,0.476884931678491,0.47502778364278436,-0.7086106139972915,0.60175311549205
1998,BOM,11,2304.962651203633,-0.0069315508171687,-0.1538637322305168,0.5293390116511406,-0.6894470015577392,-0.8391236152986782,0.46992782809205436,0.3860618680437965,-0.7086106139972915,0.70254516344577
1999,BOM,9,2505.6008274599226,0.0603710133986302,1.0733717083869971,0.6929241374012514,0.8007144153385336,-0.5914457268104641,0.7095411307498026,0.6644944039753197,1.2026415987197696,-0.33811578128456343
1999,BOM,10,2505.6008274599226,0.0603710133986302,1.6571769901575892,0.6261986020188657,-0.6620165915656714,0.6845280703821605,0.7800311901167686,1.1237086192177115,0.912484529718981,-0.3701508008088895
1999,BOM,11,2505.6008274599226,0.0603710133986302,0.5978444718673416,-0.05731877864532101,-0.6957457535866945,-0.6620088899504556,0.7053332722723937,0.7545736008121119,0.912484529718981,-0.18279302055776706
2000,BOM,9,2551.682570811968,0.0453192686395238,-1.4447217455190078,0.37563095120721174,-0.06511426470455992,-0.6115271668865899,0.6340462908072876,0.5295125090561602,0.28030217189506,-0.4655980701920632
2000,BOM,10,2551.682570811968,0.0453192686395238,-1.1128397283591998,1.0374021735477654,-0.33413880080738334,-0.43298204655444195,0.836789394470202,1.166083729152312,-0.7008937949926126,-0.10964416896164848
2000,BOM,11,2551.682570811968,0.0453192686395238,-0.014332180214023,0.8036548994763489,-0.32998734677981234,-0.5499720822319917,0.9981467381116736,1.231993281861641,-0.7008937949926126,-0.6190850038413314
2001,BOM,9,2275.107945586972,-0.0832118001855024,-0.3231375266903592,0.9503582268813391,-0.3715593305033549,0.03393734030810055,1.145678205473366,1.9148626017337227,-0.40896835142255905,0.2744261088767132
2001,BOM,10,2275.107945586972,-0.0832118001855024,-0.12993974751521184,0.6155424116029417,0.05361041360235024,-0.5752253622366386,0.6728412579465709,0.6261101256269587,-0.0025587711996982,0.7674803547183324
2001,BOM,11,2275.107945586972,-0.0832118001855024,-0.4687768435560671,0.24775250573477203,-0.40702222260140536,-0.6829191144945811,0.5104332601429451,0.39435244553759097,-0.0025587711996982,-0.2879923412171136
2002,BOM,9,2098.312168451822,-0.1599897413045245,0.07288701006075136,0.3919487702326018,-0.7023304914092486,-0.52388302613362,0.42323516369047104,0.3494760392010303,-0.5179746438651184,-0.6108593255054239
2002,BOM,10,2098.312168451822,-0.1599897413045245,-0.5984573056324367,-0.6727943057614336,-0.07790667971899289,0.26243193338712983,0.08784379178045484,-0.013516352166840835,-0.8163222185276803,-0.5111877625284762
2002,BOM,11,2098.312168451822,-0.1599897413045245,1.310720431262485,0.18939807251642704,-0.5696446438016101,-0.6117667468606115,0.3871723068169593,0.24700612354101523,-0.8163222185276803,-0.6904043012517975
2003,BOM,9,2687.6983520115846,0.0867211661741361,0.0957995155094522,0.37281777284671475,0.4495299965599595,-0.6323778076124202,0.3007586136441472,0.30653158273606573,-0.3269252966782043,-0.6309842332557279
2003,BOM,10,2687.6983520115846,0.0867211661741361,0.9228159451258138,0.0547113527044984,-0.31653858980927324,-0.5311512484955513,0.31195266484440204,0.23923791329581914,0.0471202182868296,-0.6390311069825054
2003,BOM,11,2687.6983520115846,0.0867211661741361,-0.1326144125636059,0.11789033976126863,-0.6864313432976216,0.484667829338083,0.9755304942057582,1.54370139266026,0.0471202182868296,-0.5239918903982919
2004,BOM,9,2768.3673897008125,0.0933536252225563,6.001826665270284,0.04019342192310743,-0.5763233926321268,-0.5843920058261853,0.4292517933117427,0.40740043329403547,-0.7042886532484776,-0.6672187463165208
2004,BOM,10,2768.3673897008125,0.0933536252225563,3.5508457015622694,2.204639763389424,0.353866529780725,-0.5609119204991494,0.1495649407553433,-0.12087560048356384,-0.3654795613255509,3.9854972960364594
2004,BOM,11,2768.3673897008125,0.0933536252225563,0.101442153405147,1.6790850911413082,-0.4645877729937717,-0.836279151433564,0.4128493777509316,0.3574308517651078,-0.3654795613255509,-0.314674949873154
2005,BOM,9,2652.504506303661,0.0295492665437282,-0.38559251185545323,0.14468759413156074,-0.12535910153816662,-0.6505510526458165,0.31781433105202844,0.3610756338563525,-0.750807816780162,-0.6067182370944171
2005,BOM,10,2652.504506303661,0.0295492665437282,-0.44148366052101623,-0.38390289941923067,-0.5138325667854594,0.20840820492185627,-0.40605681425138257,-0.45498154381311495,-0.7354873633311795,-0.6746293651052547
2005,BOM,11,2652.504506303661,0.0295492665437282,0.8116691142537633,0.26914588026378866,0.6600507835306493,-0.7635154599119405,0.12876941839776423,0.1584605995975006,-0.7354873633311795,-0.6004278469400116
