model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
BOM,1993,4,1993,4,-40.0,-62.5,1.68,15.27
BOM,1993,4,1993,5,-40.0,-62.5,1.08,11.09
BOM,1993,4,1993,6,-40.0,-62.5,1.0,8.51
BOM,1993,4,1993,7,-40.0,-62.5,1.06,7.43
BOM,1993,4,1993,8,-40.0,-62.5,1.04,8.57
BOM,1993,4,1993,9,-40.0,-62.5,1.49,10.58
BOM,1993,5,1993,5,-40.0,-62.5,1.23,11.07
BOM,1993,5,1993,6,-40.0,-62.5,0.99,8.25
BOM,1993,5,1993,7,-40.0,-62.5,0.96,7.62
BOM,1993,5,1993,8,-40.0,-62.5,0.93,8.52
BOM,1993,5,1993,9,-40.0,-62.5,1.47,10.73
BOM,1993,5,1993,10,-40.0,-62.5,1.76,13.12
BOM,1993,6,1993,6,-40.0,-62.5,1.05,8.09
BOM,1993,6,1993,7,-40.0,-62.5,1.0,7.11
BOM,1993,6,1993,8,-40.0,-62.5,1.01,8.59
BOM,1993,6,1993,9,-40.0,-62.5,1.67,10.54
BOM,1993,6,1993,10,-40.0,-62.5,2.06,12.8
BOM,1993,6,1993,11,-40.0,-62.5,1.97,16.81
BOM,1993,7,1993,7,-40.0,-62.5,1.22,7.86
BOM,1993,7,1993,8,-40.0,-62.5,1.39,8.58
BOM,1993,7,1993,9,-40.0,-62.5,1.94,10.49
BOM,1993,7,1993,10,-40.0,-62.5,1.67,13.39
BOM,1993,7,1993,11,-40.0,-62.5,2.06,16.78
BOM,1993,8,1993,8,-40.0,-62.5,0.99,8.29
BOM,1993,8,1993,9,-40.0,-62.5,1.72,10.59
BOM,1993,8,1993,10,-40.0,-62.5,2.2,12.99
BOM,1993,8,1993,11,-40.0,-62.5,1.71,16.77
BOM,1993,9,1993,9,-40.0,-62.5,1.57,10.94
BOM,1993,9,1993,10,-40.0,-62.5,2.02,13.71
BOM,1993,9,1993,11,-40.0,-62.5,1.83,17.04
BOM,1993,10,1993,10,-40.0,-62.5,1.52,14.0
BOM,1993,10,1993,11,-40.0,-62.5,1.62,17.61
BOM,1993,11,1993,11,-40.0,-62.5,1.68,17.72
BOM,1994,4,1994,4,-40.0,-62.5,1.45,14.92
BOM,1994,4,1994,5,-40.0,-62.5,0.87,11.34
BOM,1994,4,1994,6,-40.0,-62.5,1.01,8.46
BOM,1994,4,1994,7,-40.0,-62.5,1.01,7.92
BOM,1994,4,1994,8,-40.0,-62.5,1.11,8.59
BOM,1994,4,1994,9,-40.0,-62.5,1.33,10.88
BOM,1994,5,1994,5,-40.0,-62.5,1.03,11.24
BOM,1994,5,1994,6,-40.0,-62.5,0.87,8.63
BOM,1994,5,1994,7,-40.0,-62.5,1.1,7.89
BOM,1994,5,1994,8,-40.0,-62.5,1.16,8.68
BOM,1994,5,1994,9,-40.0,-62.5,1.26,10.93
BOM,1994,5,1994,10,-40.0,-62.5,2.07,13.5
BOM,1994,6,1994,6,-40.0,-62.5,0.93,8.65
BOM,1994,6,1994,7,-40.0,-62.5,0.96,7.89
BOM,1994,6,1994,8,-40.0,-62.5,1.09,8.98
BOM,1994,6,1994,9,-40.0,-62.5,1.73,10.67
BOM,1994,6,1994,10,-40.0,-62.5,2.2,13.7
BOM,1994,6,1994,11,-40.0,-62.5,2.07,16.89
BOM,1994,7,1994,7,-40.0,-62.5,0.95,8.24
BOM,1994,7,1994,8,-40.0,-62.5,1.43,8.73
BOM,1994,7,1994,9,-40.0,-62.5,1.51,10.86
BOM,1994,7,1994,10,-40.0,-62.5,1.81,13.63
BOM,1994,7,1994,11,-40.0,-62.5,2.06,16.98
BOM,1994,8,1994,8,-40.0,-62.5,1.22,9.38
BOM,1994,8,1994,9,-40.0,-62.5,1.43,11.13
BOM,1994,8,1994,10,-40.0,-62.5,1.85,13.57
BOM,1994,8,1994,11,-40.0,-62.5,1.77,16.98
BOM,1994,9,1994,9,-40.0,-62.5,1.46,11.4
BOM,1994,9,1994,10,-40.0,-62.5,1.86,13.49
BOM,1994,9,1994,11,-40.0,-62.5,1.63,17.04
BOM,1994,10,1994,10,-40.0,-62.5,1.73,14.46
BOM,1994,10,1994,11,-40.0,-62.5,1.67,17.68
BOM,1994,11,1994,11,-40.0,-62.5,1.38,17.97
BOM,1995,4,1995,4,-40.0,-62.5,1.27,14.93
BOM,1995,4,1995,5,-40.0,-62.5,0.97,11.76
BOM,1995,4,1995,6,-40.0,-62.5,0.83,8.65
BOM,1995,4,1995,7,-40.0,-62.5,0.63,7.68
BOM,1995,4,1995,8,-40.0,-62.5,0.97,8.5
BOM,1995,4,1995,9,-40.0,-62.5,1.55,10.51
BOM,1995,5,1995,5,-40.0,-62.5,1.07,11.89
BOM,1995,5,1995,6,-40.0,-62.5,0.84,8.89
BOM,1995,5,1995,7,-40.0,-62.5,0.98,7.9
BOM,1995,5,1995,8,-40.0,-62.5,1.09,8.57
BOM,1995,5,1995,9,-40.0,-62.5,1.14,10.87
BOM,1995,5,1995,10,-40.0,-62.5,2.17,13.7
BOM,1995,6,1995,6,-40.0,-62.5,1.11,8.78
BOM,1995,6,1995,7,-40.0,-62.5,1.04,7.91
BOM,1995,6,1995,8,-40.0,-62.5,0.97,8.62
BOM,1995,6,1995,9,-40.0,-62.5,1.39,10.54
BOM,1995,6,1995,10,-40.0,-62.5,1.78,13.64
BOM,1995,6,1995,11,-40.0,-62.5,1.33,17.38
BOM,1995,7,1995,7,-40.0,-62.5,1.18,8.19
BOM,1995,7,1995,8,-40.0,-62.5,1.27,8.99
BOM,1995,7,1995,9,-40.0,-62.5,1.14,11.32
BOM,1995,7,1995,10,-40.0,-62.5,1.66,13.85
BOM,1995,7,1995,11,-40.0,-62.5,1.59,17.17
BOM,1995,8,1995,8,-40.0,-62.5,1.04,9.06
BOM,1995,8,1995,9,-40.0,-62.5,1.19,10.88
BOM,1995,8,1995,10,-40.0,-62.5,1.68,13.87
BOM,1995,8,1995,11,-40.0,-62.5,1.75,17.52
BOM,1995,9,1995,9,-40.0,-62.5,1.19,11.16
BOM,1995,9,1995,10,-40.0,-62.5,1.43,13.79
BOM,1995,9,1995,11,-40.0,-62.5,1.6,17.34
BOM,1995,10,1995,10,-40.0,-62.5,1.4,14.49
BOM,1995,10,1995,11,-40.0,-62.5,1.31,17.59
BOM,1995,11,1995,11,-40.0,-62.5,1.48,18.15
BOM,1996,4,1996,4,-40.0,-62.5,1.22,15.35
BOM,1996,4,1996,5,-40.0,-62.5,1.16,11.29
BOM,1996,4,1996,6,-40.0,-62.5,1.01,8.45
BOM,1996,4,1996,7,-40.0,-62.5,0.89,7.62
BOM,1996,4,1996,8,-40.0,-62.5,1.28,8.61
BOM,1996,4,1996,9,-40.0,-62.5,1.57,10.93
BOM,1996,5,1996,5,-40.0,-62.5,1.13,11.31
BOM,1996,5,1996,6,-40.0,-62.5,0.93,8.79
BOM,1996,5,1996,7,-40.0,-62.5,1.09,7.9
BOM,1996,5,1996,8,-40.0,-62.5,1.07,9.55
BOM,1996,5,1996,9,-40.0,-62.5,1.36,11.23
BOM,1996,5,1996,10,-40.0,-62.5,1.94,14.43
BOM,1996,6,1996,6,-40.0,-62.5,0.88,8.87
BOM,1996,6,1996,7,-40.0,-62.5,0.75,8.38
BOM,1996,6,1996,8,-40.0,-62.5,0.97,9.32
BOM,1996,6,1996,9,-40.0,-62.5,1.63,11.25
BOM,1996,6,1996,10,-40.0,-62.5,1.83,14.67
BOM,1996,6,1996,11,-40.0,-62.5,1.7,17.7
BOM,1996,7,1996,7,-40.0,-62.5,0.89,8.85
BOM,1996,7,1996,8,-40.0,-62.5,1.15,9.65
BOM,1996,7,1996,9,-40.0,-62.5,1.38,12.03
BOM,1996,7,1996,10,-40.0,-62.5,1.92,14.59
BOM,1996,7,1996,11,-40.0,-62.5,1.88,17.67
BOM,1996,8,1996,8,-40.0,-62.5,0.81,9.21
BOM,1996,8,1996,9,-40.0,-62.5,1.18,11.58
BOM,1996,8,1996,10,-40.0,-62.5,1.44,14.53
BOM,1996,8,1996,11,-40.0,-62.5,1.72,17.63
BOM,1996,9,1996,9,-40.0,-62.5,1.13,12.13
BOM,1996,9,1996,10,-40.0,-62.5,1.71,14.65
BOM,1996,9,1996,11,-40.0,-62.5,1.42,18.09
BOM,1996,10,1996,10,-40.0,-62.5,1.48,14.84
BOM,1996,10,1996,11,-40.0,-62.5,1.15,18.06
BOM,1996,11,1996,11,-40.0,-62.5,1.5,18.63
BOM,1997,4,1997,4,-40.0,-62.5,1.36,15.73
BOM,1997,4,1997,5,-40.0,-62.5,1.3,11.75
BOM,1997,4,1997,6,-40.0,-62.5,0.95,9.1
BOM,1997,4,1997,7,-40.0,-62.5,0.9,8.31
BOM,1997,4,1997,8,-40.0,-62.5,1.21,8.66
BOM,1997,4,1997,9,-40.0,-62.5,1.92,10.7
BOM,1997,5,1997,5,-40.0,-62.5,1.14,11.98
BOM,1997,5,1997,6,-40.0,-62.5,1.09,8.82
BOM,1997,5,1997,7,-40.0,-62.5,1.34,8.54
BOM,1997,5,1997,8,-40.0,-62.5,1.48,9.13
BOM,1997,5,1997,9,-40.0,-62.5,1.61,10.86
BOM,1997,5,1997,10,-40.0,-62.5,2.13,13.2
BOM,1997,6,1997,6,-40.0,-62.5,1.51,9.35
BOM,1997,6,1997,7,-40.0,-62.5,1.31,8.56
BOM,1997,6,1997,8,-40.0,-62.5,1.15,9.42
BOM,1997,6,1997,9,-40.0,-62.5,1.85,10.78
BOM,1997,6,1997,10,-40.0,-62.5,2.32,12.79
BOM,1997,6,1997,11,-40.0,-62.5,2.2,16.33
BOM,1997,7,1997,7,-40.0,-62.5,1.16,8.59
BOM,1997,7,1997,8,-40.0,-62.5,1.3,9.34
BOM,1997,7,1997,9,-40.0,-62.5,1.92,11.0
BOM,1997,7,1997,10,-40.0,-62.5,2.05,13.44
BOM,1997,7,1997,11,-40.0,-62.5,2.41,16.38
BOM,1997,8,1997,8,-40.0,-62.5,1.34,9.47
BOM,1997,8,1997,9,-40.0,-62.5,1.77,11.37
BOM,1997,8,1997,10,-40.0,-62.5,2.04,13.37
BOM,1997,8,1997,11,-40.0,-62.5,2.09,16.72
BOM,1997,9,1997,9,-40.0,-62.5,1.9,11.29
BOM,1997,9,1997,10,-40.0,-62.5,2.6,12.82
BOM,1997,9,1997,11,-40.0,-62.5,2.3,16.69
BOM,1997,10,1997,10,-40.0,-62.5,2.43,13.46
BOM,1997,10,1997,11,-40.0,-62.5,2.53,16.83
BOM,1997,11,1997,11,-40.0,-62.5,2.14,17.45
