model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
CWB,1993,4,1993,4,-40.0,-62.5,1.78,15.11
CWB,1993,4,1993,5,-40.0,-62.5,1.29,11.92
CWB,1993,4,1993,6,-40.0,-62.5,1.49,9.24
CWB,1993,4,1993,7,-40.0,-62.5,1.22,8.51
CWB,1993,4,1993,8,-40.0,-62.5,0.83,8.7
CWB,1993,4,1993,9,-40.0,-62.5,0.91,9.74
CWB,1993,5,1993,5,-40.0,-62.5,1.55,11.69
CWB,1993,5,1993,6,-40.0,-62.5,1.35,9.5
CWB,1993,5,1993,7,-40.0,-62.5,1.14,8.37
CWB,1993,5,1993,8,-40.0,-62.5,0.89,8.49
CWB,1993,5,1993,9,-40.0,-62.5,0.87,9.45
CWB,1993,5,1993,10,-40.0,-62.5,0.92,11.75
CWB,1993,6,1993,6,-40.0,-62.5,1.43,8.87
CWB,1993,6,1993,7,-40.0,-62.5,1.44,8.09
CWB,1993,6,1993,8,-40.0,-62.5,1.06,8.4
CWB,1993,6,1993,9,-40.0,-62.5,0.82,9.74
CWB,1993,6,1993,10,-40.0,-62.5,1.14,11.66
CWB,1993,6,1993,11,-40.0,-62.5,1.16,14.56
CWB,1993,7,1993,7,-40.0,-62.5,1.29,8.39
CWB,1993,7,1993,8,-40.0,-62.5,0.8,8.3
CWB,1993,7,1993,9,-40.0,-62.5,0.92,9.77
CWB,1993,7,1993,10,-40.0,-62.5,0.76,11.82
CWB,1993,7,1993,11,-40.0,-62.5,1.07,14.63
CWB,1993,8,1993,8,-40.0,-62.5,0.96,7.96
CWB,1993,8,1993,9,-40.0,-62.5,1.08,9.31
CWB,1993,8,1993,10,-40.0,-62.5,0.95,11.28
CWB,1993,8,1993,11,-40.0,-62.5,0.99,14.05
CWB,1993,9,1993,9,-40.0,-62.5,0.91,9.36
CWB,1993,9,1993,10,-40.0,-62.5,1.05,11.19
CWB,1993,9,1993,11,-40.0,-62.5,1.04,13.99
CWB,1993,10,1993,10,-40.0,-62.5,1.0,11.58
CWB,1993,10,1993,11,-40.0,-62.5,0.98,14.12
CWB,1993,11,1993,11,-40.0,-62.5,0.89,14.59
CWB,1994,4,1994,4,-40.0,-62.5,1.45,15.0
CWB,1994,4,1994,5,-40.0,-62.5,1.29,11.88
CWB,1994,4,1994,6,-40.0,-62.5,1.16,9.23
CWB,1994,4,1994,7,-40.0,-62.5,1.22,8.09
CWB,1994,4,1994,8,-40.0,-62.5,0.77,8.53
CWB,1994,4,1994,9,-40.0,-62.5,0.89,9.78
CWB,1994,5,1994,5,-40.0,-62.5,1.47,11.78
CWB,1994,5,1994,6,-40.0,-62.5,1.34,9.4
CWB,1994,5,1994,7,-40.0,-62.5,0.99,8.3
CWB,1994,5,1994,8,-40.0,-62.5,0.83,8.4
CWB,1994,5,1994,9,-40.0,-62.5,0.9,9.58
CWB,1994,5,1994,10,-40.0,-62.5,0.82,11.74
CWB,1994,6,1994,6,-40.0,-62.5,1.28,9.28
CWB,1994,6,1994,7,-40.0,-62.5,1.29,8.28
CWB,1994,6,1994,8,-40.0,-62.5,0.73,8.52
CWB,1994,6,1994,9,-40.0,-62.5,0.74,9.7
CWB,1994,6,1994,10,-40.0,-62.5,0.82,11.76
CWB,1994,6,1994,11,-40.0,-62.5,0.85,14.91
