model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
HMC,1993,9,1993,9,-45.0,-67.5,1.8280007,7.438928222656273
HMC,1993,9,1993,9,-45.0,-65.0,0.9444423,8.781427001953148
HMC,1993,9,1993,9,-45.0,-62.5,1.0813122,8.048028564453148
HMC,1993,9,1993,9,-45.0,-60.0,1.106894,6.946527099609398
HMC,1993,9,1993,9,-45.0,-57.5,1.232563,6.694909667968773
HMC,1993,9,1993,9,-45.0,-55.0,2.0480018,7.863366699218773
HMC,1993,9,1993,9,-42.5,-67.5,2.286594,5.582086181640648
HMC,1993,9,1993,9,-42.5,-65.0,1.0171889,9.709863281250023
HMC,1993,9,1993,9,-42.5,-62.5,0.77005833,9.742150878906273
HMC,1993,9,1993,9,-42.5,-60.0,0.89948416,8.402307128906273
HMC,1993,9,1993,9,-42.5,-57.5,0.93428165,7.472436523437523
HMC,1993,9,1993,9,-42.5,-55.0,1.7780933,8.679101562500023
HMC,1993,9,1993,9,-40.0,-67.5,1.7073399,8.159661865234398
HMC,1993,9,1993,9,-40.0,-65.0,0.8438247,11.563623046875023
HMC,1993,9,1993,9,-40.0,-62.5,0.6302427,11.394464111328148
HMC,1993,9,1993,9,-40.0,-60.0,0.8556075,10.351190185546898
HMC,1993,9,1993,9,-40.0,-57.5,0.86680585,8.973535156250023
HMC,1993,9,1993,9,-40.0,-55.0,1.1530417,8.877923583984398
HMC,1993,9,1993,9,-37.5,-67.5,1.5208769,10.217248535156273
HMC,1993,9,1993,9,-37.5,-65.0,0.64064026,12.753869628906273
HMC,1993,9,1993,9,-37.5,-62.5,0.78116655,12.091577148437523
HMC,1993,9,1993,9,-37.5,-60.0,1.0718751,11.729547119140648
HMC,1993,9,1993,9,-37.5,-57.5,1.0280628,11.332666015625023
HMC,1993,9,1993,9,-37.5,-55.0,0.99306965,10.459039306640648
HMC,1993,9,1993,9,-35.0,-67.5,2.2450733,10.212457275390648
HMC,1993,9,1993,9,-35.0,-65.0,0.93130505,13.661584472656273
HMC,1993,9,1993,9,-35.0,-62.5,0.9009441,13.634454345703148
HMC,1993,9,1993,9,-35.0,-60.0,1.1346517,13.606683349609398
HMC,1993,9,1993,9,-35.0,-57.5,1.364708,13.409143066406273
HMC,1993,9,1993,9,-35.0,-55.0,1.536759,12.569451904296898
HMC,1993,9,1993,9,-32.5,-67.5,2.9354868,10.776910400390648
HMC,1993,9,1993,9,-32.5,-65.0,1.9589043,13.743951416015648
HMC,1993,9,1993,9,-32.5,-62.5,1.4818977,14.878717041015648
HMC,1993,9,1993,9,-32.5,-60.0,1.4317589,15.590844726562523
HMC,1993,9,1993,9,-32.5,-57.5,1.9280285,15.051080322265648
HMC,1993,9,1993,9,-32.5,-55.0,2.5809357,14.478295898437523
HMC,1993,9,1993,9,-30.0,-67.5,3.3230636,10.383447265625023
HMC,1993,9,1993,9,-30.0,-65.0,2.0651379,15.511102294921898
HMC,1993,9,1993,9,-30.0,-62.5,1.7001171,16.838739013671898
HMC,1993,9,1993,9,-30.0,-60.0,1.9736767,17.161584472656273
HMC,1993,9,1993,9,-30.0,-57.5,2.395616,16.900415039062523
HMC,1993,9,1993,9,-30.0,-55.0,3.1568398,16.104119873046898
HMC,1993,9,1993,10,-45.0,-67.5,2.0897734,10.898645019531273
HMC,1993,9,1993,10,-45.0,-65.0,0.6087048,10.416589355468773
HMC,1993,9,1993,10,-45.0,-62.5,0.62746954,9.334924316406273
HMC,1993,9,1993,10,-45.0,-60.0,0.65953374,7.964440917968773
HMC,1993,9,1993,10,-45.0,-57.5,0.88427275,7.734521484375023
HMC,1993,9,1993,10,-45.0,-55.0,1.4286432,9.040948486328148
HMC,1993,9,1993,10,-42.5,-67.5,3.0234396,9.349938964843773
HMC,1993,9,1993,10,-42.5,-65.0,1.114163,12.639764404296898
HMC,1993,9,1993,10,-42.5,-62.5,0.4766616,11.232324218750023
HMC,1993,9,1993,10,-42.5,-60.0,0.56008387,9.702813720703148
HMC,1993,9,1993,10,-42.5,-57.5,0.6858417,8.559167480468773
HMC,1993,9,1993,10,-42.5,-55.0,1.2480036,9.903100585937523
HMC,1993,9,1993,10,-40.0,-67.5,2.0486584,12.384637451171898
HMC,1993,9,1993,10,-40.0,-65.0,1.1411495,16.056359863281273
HMC,1993,9,1993,10,-40.0,-62.5,0.7913568,14.693688964843773
HMC,1993,9,1993,10,-40.0,-60.0,0.86378926,12.344567871093773
HMC,1993,9,1993,10,-40.0,-57.5,0.90486443,10.576654052734398
HMC,1993,9,1993,10,-40.0,-55.0,1.246944,10.317773437500023
HMC,1993,9,1993,10,-37.5,-67.5,2.0840442,14.415826416015648
HMC,1993,9,1993,10,-37.5,-65.0,1.1222727,17.338983154296898
HMC,1993,9,1993,10,-37.5,-62.5,1.5622108,16.495568847656273
HMC,1993,9,1993,10,-37.5,-60.0,1.959418,15.774804687500023
HMC,1993,9,1993,10,-37.5,-57.5,1.6807925,14.411950683593773
HMC,1993,9,1993,10,-37.5,-55.0,1.3110337,12.502008056640648
HMC,1993,9,1993,10,-35.0,-67.5,3.652087,13.965478515625023
HMC,1993,9,1993,10,-35.0,-65.0,1.6060257,17.998986816406273
HMC,1993,9,1993,10,-35.0,-62.5,1.6320207,17.952355957031273
HMC,1993,9,1993,10,-35.0,-60.0,2.0038934,17.683526611328148
HMC,1993,9,1993,10,-35.0,-57.5,2.1316147,16.971307373046898
HMC,1993,9,1993,10,-35.0,-55.0,1.8823017,15.145837402343773
HMC,1993,9,1993,10,-32.5,-67.5,5.0508614,13.889794921875023
HMC,1993,9,1993,10,-32.5,-65.0,3.0326965,17.497766113281273
HMC,1993,9,1993,10,-32.5,-62.5,2.3284853,18.727868652343773
HMC,1993,9,1993,10,-32.5,-60.0,2.0349147,19.501519775390648
HMC,1993,9,1993,10,-32.5,-57.5,2.4036164,18.677850341796898
HMC,1993,9,1993,10,-32.5,-55.0,2.9490824,17.706628417968773
HMC,1993,9,1993,10,-30.0,-67.5,7.365721,12.777337646484398
HMC,1993,9,1993,10,-30.0,-65.0,3.4157033,18.969842529296898
HMC,1993,9,1993,10,-30.0,-62.5,2.530323,20.656335449218773
HMC,1993,9,1993,10,-30.0,-60.0,2.1159732,21.086724853515648
HMC,1993,9,1993,10,-30.0,-57.5,2.2065718,20.575524902343773
HMC,1993,9,1993,10,-30.0,-55.0,3.338745,19.177087402343773
HMC,1993,9,1993,11,-45.0,-67.5,1.9740951,14.073663330078148
HMC,1993,9,1993,11,-45.0,-65.0,0.5243633,12.788415527343773
HMC,1993,9,1993,11,-45.0,-62.5,0.4987557,11.703332519531273
HMC,1993,9,1993,11,-45.0,-60.0,0.5446923,10.036553955078148
HMC,1993,9,1993,11,-45.0,-57.5,0.7511172,9.854913330078148
HMC,1993,9,1993,11,-45.0,-55.0,1.2288165,11.066613769531273
HMC,1993,9,1993,11,-42.5,-67.5,2.9961905,12.600244140625023
HMC,1993,9,1993,11,-42.5,-65.0,0.9307604,15.791558837890648
HMC,1993,9,1993,11,-42.5,-62.5,0.43336686,13.653649902343773
HMC,1993,9,1993,11,-42.5,-60.0,0.55678153,12.066369628906273
HMC,1993,9,1993,11,-42.5,-57.5,0.70205855,10.724542236328148
HMC,1993,9,1993,11,-42.5,-55.0,1.143051,12.018731689453148
HMC,1993,9,1993,11,-40.0,-67.5,1.5693369,16.265222167968773
HMC,1993,9,1993,11,-40.0,-65.0,0.8569568,20.388330078125023
HMC,1993,9,1993,11,-40.0,-62.5,0.6972306,18.541558837890648
HMC,1993,9,1993,11,-40.0,-60.0,0.7496753,15.207604980468773
HMC,1993,9,1993,11,-40.0,-57.5,0.9098727,13.085778808593773
HMC,1993,9,1993,11,-40.0,-55.0,1.1265793,12.636895751953148
HMC,1993,9,1993,11,-37.5,-67.5,1.586473,18.559991455078148
HMC,1993,9,1993,11,-37.5,-65.0,0.8697116,22.089105224609398
HMC,1993,9,1993,11,-37.5,-62.5,1.2284045,21.583947753906273
HMC,1993,9,1993,11,-37.5,-60.0,1.7548729,20.357049560546898
HMC,1993,9,1993,11,-37.5,-57.5,1.5440061,18.014489746093773
HMC,1993,9,1993,11,-37.5,-55.0,1.1617849,15.270104980468773
