model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
KMA,1993,4,1993,4,-40.0,-62.5,1.71,14.96
KMA,1993,4,1993,5,-40.0,-62.5,0.99,11.2
KMA,1993,4,1993,6,-40.0,-62.5,0.92,8.71
KMA,1993,4,1993,7,-40.0,-62.5,0.78,8.42
KMA,1993,4,1993,8,-40.0,-62.5,1.3,9.12
KMA,1993,4,1993,9,-40.0,-62.5,1.46,11.43
KMA,1993,5,1993,5,-40.0,-62.5,1.38,11.02
KMA,1993,5,1993,6,-40.0,-62.5,0.98,7.91
KMA,1993,5,1993,7,-40.0,-62.5,0.89,7.17
KMA,1993,5,1993,8,-40.0,-62.5,1.3,8.53
KMA,1993,5,1993,9,-40.0,-62.5,1.3,10.81
KMA,1993,5,1993,10,-40.0,-62.5,1.98,13.62
KMA,1993,6,1993,6,-40.0,-62.5,1.68,8.73
KMA,1993,6,1993,7,-40.0,-62.5,1.52,8.35
KMA,1993,6,1993,8,-40.0,-62.5,1.85,9.02
KMA,1993,6,1993,9,-40.0,-62.5,1.98,11.15
KMA,1993,6,1993,10,-40.0,-62.5,2.07,14.0
KMA,1993,6,1993,11,-40.0,-62.5,2.02,17.24
KMA,1993,7,1993,7,-40.0,-62.5,1.62,8.1
KMA,1993,7,1993,8,-40.0,-62.5,0.97,8.92
KMA,1993,7,1993,9,-40.0,-62.5,1.53,11.11
KMA,1993,7,1993,10,-40.0,-62.5,1.64,13.88
KMA,1993,7,1993,11,-40.0,-62.5,1.86,17.58
KMA,1993,8,1993,8,-40.0,-62.5,1.59,9.2
KMA,1993,8,1993,9,-40.0,-62.5,1.38,10.89
KMA,1993,8,1993,10,-40.0,-62.5,1.75,13.51
KMA,1993,8,1993,11,-40.0,-62.5,1.63,17.33
KMA,1993,9,1993,9,-40.0,-62.5,1.59,10.84
KMA,1993,9,1993,10,-40.0,-62.5,2.09,13.63
KMA,1993,9,1993,11,-40.0,-62.5,2.0,17.25
KMA,1993,10,1993,10,-40.0,-62.5,1.66,14.09
KMA,1993,10,1993,11,-40.0,-62.5,1.76,17.49
KMA,1993,11,1993,11,-40.0,-62.5,1.13,18.02
KMA,1994,4,1994,4,-40.0,-62.5,0.96,16.0
KMA,1994,4,1994,5,-40.0,-62.5,1.11,11.55
KMA,1994,4,1994,6,-40.0,-62.5,1.14,9.18
KMA,1994,4,1994,7,-40.0,-62.5,1.35,8.65
KMA,1994,4,1994,8,-40.0,-62.5,0.96,9.25
KMA,1994,4,1994,9,-40.0,-62.5,1.92,10.82
KMA,1994,5,1994,5,-40.0,-62.5,1.07,11.58
KMA,1994,5,1994,6,-40.0,-62.5,1.63,8.73
KMA,1994,5,1994,7,-40.0,-62.5,0.57,8.18
KMA,1994,5,1994,8,-40.0,-62.5,1.43,8.87
KMA,1994,5,1994,9,-40.0,-62.5,1.72,11.13
KMA,1994,5,1994,10,-40.0,-62.5,1.64,13.82
KMA,1994,6,1994,6,-40.0,-62.5,1.28,8.84
KMA,1994,6,1994,7,-40.0,-62.5,0.9,8.17
KMA,1994,6,1994,8,-40.0,-62.5,0.95,8.63
KMA,1994,6,1994,9,-40.0,-62.5,1.7,11.17
KMA,1994,6,1994,10,-40.0,-62.5,2.38,13.56
KMA,1994,6,1994,11,-40.0,-62.5,1.7,17.65
KMA,1994,7,1994,7,-40.0,-62.5,0.94,8.3
KMA,1994,7,1994,8,-40.0,-62.5,1.35,8.63
KMA,1994,7,1994,9,-40.0,-62.5,1.37,11.25
KMA,1994,7,1994,10,-40.0,-62.5,2.2,13.79
KMA,1994,7,1994,11,-40.0,-62.5,1.97,17.56
KMA,1994,8,1994,8,-40.0,-62.5,1.48,9.1
KMA,1994,8,1994,9,-40.0,-62.5,1.88,11.02
KMA,1994,8,1994,10,-40.0,-62.5,1.82,14.01
KMA,1994,8,1994,11,-40.0,-62.5,1.43,17.34
KMA,1994,9,1994,9,-40.0,-62.5,1.17,11.23
KMA,1994,9,1994,10,-40.0,-62.5,2.28,13.67
KMA,1994,9,1994,11,-40.0,-62.5,1.53,17.45
KMA,1994,10,1994,10,-40.0,-62.5,1.78,13.79
KMA,1994,10,1994,11,-40.0,-62.5,1.81,17.11
KMA,1994,11,1994,11,-40.0,-62.5,1.84,17.99
KMA,1995,4,1995,4,-40.0,-62.5,1.43,15.31
KMA,1995,4,1995,5,-40.0,-62.5,1.05,11.32
KMA,1995,4,1995,6,-40.0,-62.5,0.96,8.72
KMA,1995,4,1995,7,-40.0,-62.5,0.78,8.14
KMA,1995,4,1995,8,-40.0,-62.5,0.53,9.27
KMA,1995,4,1995,9,-40.0,-62.5,1.7,11.23
KMA,1995,5,1995,5,-40.0,-62.5,1.27,11.81
KMA,1995,5,1995,6,-40.0,-62.5,1.14,9.51
KMA,1995,5,1995,7,-40.0,-62.5,1.06,8.53
KMA,1995,5,1995,8,-40.0,-62.5,1.29,8.94
KMA,1995,5,1995,9,-40.0,-62.5,1.37,11.25
KMA,1995,5,1995,10,-40.0,-62.5,2.24,13.59
KMA,1995,6,1995,6,-40.0,-62.5,1.0,9.45
KMA,1995,6,1995,7,-40.0,-62.5,1.13,8.23
KMA,1995,6,1995,8,-40.0,-62.5,0.91,8.7
KMA,1995,6,1995,9,-40.0,-62.5,1.48,11.0
KMA,1995,6,1995,10,-40.0,-62.5,1.84,13.81
KMA,1995,6,1995,11,-40.0,-62.5,1.98,16.93
KMA,1995,7,1995,7,-40.0,-62.5,0.75,8.39
KMA,1995,7,1995,8,-40.0,-62.5,0.99,8.85
KMA,1995,7,1995,9,-40.0,-62.5,1.34,11.1
KMA,1995,7,1995,10,-40.0,-62.5,1.86,14.18
KMA,1995,7,1995,11,-40.0,-62.5,2.1,17.63
KMA,1995,8,1995,8,-40.0,-62.5,0.92,9.18
KMA,1995,8,1995,9,-40.0,-62.5,1.42,10.73
KMA,1995,8,1995,10,-40.0,-62.5,1.6,13.81
KMA,1995,8,1995,11,-40.0,-62.5,1.43,17.07
KMA,1995,9,1995,9,-40.0,-62.5,1.3,10.12
KMA,1995,9,1995,10,-40.0,-62.5,1.49,13.86
