model,init_year,init_month,forecasted_year,forecasted_month,lat,lon,prec,t2m
PNU,1993,4,1993,4,-40.0,-62.5,1.69,15.3
PNU,1993,4,1993,5,-40.0,-62.5,1.92,11.6
PNU,1993,4,1993,6,-40.0,-62.5,1.8,9.17
PNU,1993,4,1993,7,-40.0,-62.5,1.66,8.06
PNU,1993,4,1993,8,-40.0,-62.5,1.68,7.65
PNU,1993,4,1993,9,-40.0,-62.5,1.52,8.1
PNU,1993,5,1993,5,-40.0,-62.5,2.09,11.09
PNU,1993,5,1993,6,-40.0,-62.5,2.04,8.97
PNU,1993,5,1993,7,-40.0,-62.5,1.96,7.78
PNU,1993,5,1993,8,-40.0,-62.5,1.9,7.42
PNU,1993,5,1993,9,-40.0,-62.5,1.52,8.18
PNU,1993,5,1993,10,-40.0,-62.5,1.44,9.98
PNU,1993,6,1993,6,-40.0,-62.5,1.88,8.88
PNU,1993,6,1993,7,-40.0,-62.5,1.81,7.7
PNU,1993,6,1993,8,-40.0,-62.5,1.68,7.41
PNU,1993,6,1993,9,-40.0,-62.5,1.63,8.23
PNU,1993,6,1993,10,-40.0,-62.5,1.3,10.08
PNU,1993,6,1993,11,-40.0,-62.5,1.04,13.36
PNU,1993,7,1993,7,-40.0,-62.5,2.07,7.67
PNU,1993,7,1993,8,-40.0,-62.5,1.82,7.39
PNU,1993,7,1993,9,-40.0,-62.5,1.75,8.25
PNU,1993,7,1993,10,-40.0,-62.5,1.36,10.25
PNU,1993,7,1993,11,-40.0,-62.5,1.22,13.43
PNU,1993,8,1993,8,-40.0,-62.5,1.82,7.55
PNU,1993,8,1993,9,-40.0,-62.5,1.75,8.29
PNU,1993,8,1993,10,-40.0,-62.5,1.17,10.36
PNU,1993,8,1993,11,-40.0,-62.5,1.23,13.39
PNU,1993,9,1993,9,-40.0,-62.5,1.86,8.7
PNU,1993,9,1993,10,-40.0,-62.5,1.66,10.44
PNU,1993,9,1993,11,-40.0,-62.5,1.3,13.55
PNU,1993,10,1993,10,-40.0,-62.5,1.46,10.95
PNU,1993,10,1993,11,-40.0,-62.5,1.39,13.82
PNU,1993,11,1993,11,-40.0,-62.5,1.32,14.34
PNU,1994,4,1994,4,-40.0,-62.5,1.7,15.25
PNU,1994,4,1994,5,-40.0,-62.5,1.75,11.91
PNU,1994,4,1994,6,-40.0,-62.5,1.84,9.75
PNU,1994,4,1994,7,-40.0,-62.5,1.7,8.18
PNU,1994,4,1994,8,-40.0,-62.5,1.67,7.81
PNU,1994,4,1994,9,-40.0,-62.5,1.4,8.52
PNU,1994,5,1994,5,-40.0,-62.5,1.69,11.68
PNU,1994,5,1994,6,-40.0,-62.5,1.94,9.55
PNU,1994,5,1994,7,-40.0,-62.5,1.86,8.05
PNU,1994,5,1994,8,-40.0,-62.5,1.76,7.62
PNU,1994,5,1994,9,-40.0,-62.5,1.6,8.27
PNU,1994,5,1994,10,-40.0,-62.5,1.24,10.26
PNU,1994,6,1994,6,-40.0,-62.5,1.84,8.9
PNU,1994,6,1994,7,-40.0,-62.5,1.81,8.05
PNU,1994,6,1994,8,-40.0,-62.5,1.84,7.86
PNU,1994,6,1994,9,-40.0,-62.5,1.81,8.31
PNU,1994,6,1994,10,-40.0,-62.5,1.31,10.22
PNU,1994,6,1994,11,-40.0,-62.5,1.24,13.43
PNU,1994,7,1994,7,-40.0,-62.5,1.78,7.8
PNU,1994,7,1994,8,-40.0,-62.5,1.73,7.75
PNU,1994,7,1994,9,-40.0,-62.5,1.64,8.59
PNU,1994,7,1994,10,-40.0,-62.5,1.48,10.28
PNU,1994,7,1994,11,-40.0,-62.5,1.33,13.32
PNU,1994,8,1994,8,-40.0,-62.5,1.91,7.99
PNU,1994,8,1994,9,-40.0,-62.5,1.91,8.84
PNU,1994,8,1994,10,-40.0,-62.5,1.47,10.69
PNU,1994,8,1994,11,-40.0,-62.5,1.01,13.67
PNU,1994,9,1994,9,-40.0,-62.5,1.67,8.96
PNU,1994,9,1994,10,-40.0,-62.5,1.44,10.73
PNU,1994,9,1994,11,-40.0,-62.5,1.34,13.75
PNU,1994,10,1994,10,-40.0,-62.5,1.8,11.18
PNU,1994,10,1994,11,-40.0,-62.5,1.42,13.93
PNU,1994,11,1994,11,-40.0,-62.5,1.14,14.11
PNU,1995,4,1995,4,-40.0,-62.5,1.69,15.2
PNU,1995,4,1995,5,-40.0,-62.5,1.87,11.62
PNU,1995,4,1995,6,-40.0,-62.5,1.96,9.15
PNU,1995,4,1995,7,-40.0,-62.5,1.77,7.85
PNU,1995,4,1995,8,-40.0,-62.5,1.61,7.53
