year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeansquared_entre rios nogoya_9,tmeanrain_santa fe san justo_11,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_santa fe san justo_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
1993,BOM,9,2037.439151033997,-0.0461708621216909,0.4157958135242194,2.31174573068983,1.002426676979611,0.2956895891097161,0.19174528339531585,1.7677745606664597,-0.19699762123643091,3.583019147297741,-0.5622387634064979,-3.9332942036834733
1993,BOM,10,2037.439151033997,-0.0461708621216909,-0.5995751741522138,1.273176970145736,0.018770547225257013,-0.4887728461408006,0.4024867405773949,-0.5040017024172249,-0.40552363624651316,0.0932253228767724,-0.8342830545411263,0.5078820007956356
1993,BOM,11,2037.439151033997,-0.0461708621216909,-2.84516746888442,1.273176970145736,-1.6885389019322008,1.9710539036855637,-0.05350556943030648,-0.5040017024172249,-0.8345273364606391,0.0932253228767724,0.1585234535061706,0.5078820007956356
1994,BOM,9,2185.741997507356,0.018137739947107,-0.27588505101966826,-0.7343998060620025,-2.5644050496967505,0.22067531025872184,0.20190116964251867,0.2162410642023612,-5.296896058131283,-0.7665174564293706,3.0890802938812993,-0.5183000984017224
1994,BOM,10,2185.741997507356,0.018137739947107,0.5771853520856298,0.1873599322646251,-0.2806619621196081,-0.37437175175588533,-0.48127066488294473,-0.5151841819496545,-0.536523023760165,-0.1224663457314996,1.2673622113905891,-0.0318913201485533
1994,BOM,11,2185.741997507356,0.018137739947107,-1.192060104718745,0.1873599322646251,0.13354619740756682,0.8877527237999343,-0.010577897111073478,-0.5151841819496545,-0.7365476252513777,-0.1224663457314996,-0.656067559696249,-0.0318913201485533
1995,BOM,9,1946.759707253285,-0.1022646938567331,-0.35918049515604933,-0.6154409596033616,-0.07712902881499882,-0.5478944232570828,0.44414053182430696,-0.1871228584662065,0.31837723975947313,-0.4285590725276102,-0.8009341775467783,-0.08977263311338463
1995,BOM,10,1946.759707253285,-0.1022646938567331,-0.8508668048811162,-0.351457450097654,-0.09076972942701186,-0.46906735191672483,-0.053957865150561425,-0.2192486650489319,-0.8409464630456376,-0.6031344376404629,-0.784259089490828,-1.34663793103679
1995,BOM,11,1946.759707253285,-0.1022646938567331,0.2046023600664648,-0.351457450097654,-0.0996287631792821,-0.6772720677820102,0.46217820048329455,-0.2192486650489319,0.3924973395335989,-0.6031344376404629,-0.7014327340107113,-1.34663793103679
1996,BOM,9,2260.47032027338,0.0409677436828619,0.5342407103068179,0.24419988245442387,-1.2417995102242332,0.5236277148670149,-0.4809027791258561,-0.5020240191417099,0.4209214689512473,0.3377824997968957,-0.5135498012477693,-0.23667145904712272
1996,BOM,10,2260.47032027338,0.0409677436828619,-0.5848815832666673,-0.7739327919361044,-0.2845585949438539,-0.29858397084130306,-0.2519485524961186,-0.2548149533584984,-0.8803794456608246,-0.5644491466516878,-0.46008494465009714,0.4924623043142366
1996,BOM,11,2260.47032027338,0.0409677436828619,0.0020812526940399,-0.7739327919361044,-0.7215893153952933,0.4024492855448518,-0.6100867138635965,-0.2548149533584984,-0.2573578939499356,-0.5644491466516878,-0.6197919352600018,0.4924623043142366
1997,BOM,9,2623.2529203255017,0.1759128118634677,0.4466270476839795,-0.5713244933876134,-4.554162279755606,1.1241597691064353,-3.6848773926773104,7.227594213224612,0.02504367009592991,-0.6084760888017868,2.8509770436296007,-3.586219967966398
1997,BOM,10,2623.2529203255017,0.1759128118634677,-0.3951937874544086,-0.763947429107276,-1.0368241294430143,0.8840469436790648,-3.397156415648337,-0.4409148741206526,-0.9406469273557649,0.8528035190182396,0.3446681278154574,0.7601389857480411
1997,BOM,11,2623.2529203255017,0.1759128118634677,0.0658235565137465,-0.763947429107276,-1.1041439155945432,1.4668951932084593,-1.9324381877215524,-0.4409148741206526,-0.1872729257082528,0.8528035190182396,0.3948133735253852,0.7601389857480411
1998,BOM,9,2304.962651203633,-0.0069315508171687,0.4305660326898591,-0.7746188210909387,-0.5068367751767412,-0.11712111731285217,-0.7316634242968159,-0.32757420125854436,0.18083794102347733,-0.20357653818370963,1.5138755562262585,-0.20012278886031484
1998,BOM,10,2304.962651203633,-0.0069315508171687,0.9569982674994014,0.5534529416135349,1.0348190200874348,-0.526469050546622,0.40617090031552566,-0.5361534570880869,0.576555731484308,0.9941392463390284,0.9821048205351295,-2.6025283497878897
