year,model,init_month,yield anomaly [%],tmeansquared_-38_-62_11,tmeanrain_-38_-62_11,rainsquared_-31_-61_11,rainsquared_-36_-62_9,tmeanrain_-31_-61_10
1993,CCSM4,6,-0.0469962741269668,-0.10614122583870635,-0.010619307961194528,-0.0021350771332462434,0.10740524210943721,-0.17767031618944448
1993,CCSM4,7,-0.0469962741269668,-0.08232895570528637,0.032762263545013125,-0.0029891986082433305,-0.01088245270182626,-0.2785073553700761
1993,CCSM4,8,-0.0469962741269668,-0.11194037660560983,0.024842507951900978,0.022976833957631115,0.12550228556958168,-0.17219379840302343
1993,CCSM4,9,-0.0469962741269668,-0.07068739441757947,-0.18255615837727868,0.02391122546507867,-0.04431790707818046,-0.2320780914788061
1993,CCSM4,10,-0.0469962741269668,-0.07136508950569333,-0.018070964125511443,0.025709592573359717,-0.1085823023592767,-0.011847014143995842
1993,CCSM4,11,-0.0469962741269668,-0.0758857436858081,-0.1583678751376608,0.17358505058067344,-0.1085823023592767,-5.634821377377045
1994,CCSM4,6,0.0201717246771901,-0.09928620789180823,-0.18152437823178125,-0.03798716491271774,0.17625343583581796,0.04997485339099055
1994,CCSM4,7,0.0201717246771901,-0.11613016723260881,-0.09102585031711245,0.011880040409491718,-0.054258045807832576,0.04871905258887463
1994,CCSM4,8,0.0201717246771901,-0.09398444807738936,-0.008935376902574996,-0.03526472116789849,-0.04798272768197259,0.011803228098687186
1994,CCSM4,9,0.0201717246771901,-0.05447110618617722,-0.09192225534036001,-0.04570820544306734,0.017679512284224645,0.03758358858474808
1994,CCSM4,10,0.0201717246771901,-0.10171083714433099,0.03012404994952654,-0.043809091764297536,-0.3268145534309995,0.05697592451231526
1994,CCSM4,11,0.0201717246771901,-0.11794774990190224,-0.04690659017083731,-0.0351735091720591,-0.3268145534309995,-0.7452309519453457
1995,CCSM4,6,-0.1006705795991432,-0.10024368596274792,0.1402979004784391,-0.0041886441844894255,0.03623725091837189,0.05172246400563702
1995,CCSM4,7,-0.1006705795991432,-0.09535855946430684,0.03437914574841687,-0.024554472004269773,0.13023671899062392,0.06380937124598822
1995,CCSM4,8,-0.1006705795991432,-0.12622138576653985,0.04381280671664406,-0.0036007535827346816,0.1346419363350012,0.14500780320906606
1995,CCSM4,9,-0.1006705795991432,-0.1329205192783006,0.01670123695054966,0.024363348773745516,0.08812411076008349,0.053364883659978206
1995,CCSM4,10,-0.1006705795991432,-0.12657276140728874,-0.0006784739640492177,-0.05988477040700702,0.1472334713719411,-0.03675095915944876
1995,CCSM4,11,-0.1006705795991432,-0.12968287111132595,0.0069283565234498174,-0.039028019180077,0.1472334713719411,0.6136215522492662
1996,CCSM4,6,0.0438422295142514,-0.1198179972301915,-0.025195248556169246,0.00032389482183384905,0.0768603390454989,0.06355915369663857
1996,CCSM4,7,0.0438422295142514,-0.03520682463398912,-0.21514935996965873,0.052921952956385354,0.049582444352047096,0.012298077754857929
1996,CCSM4,8,0.0438422295142514,-0.11063266587245703,-0.07572304097013235,-0.0029002075012164747,0.34293001148623503,0.057132665860817104
1996,CCSM4,9,0.0438422295142514,-0.07393414941894352,-0.17400009314270345,0.06436976293383039,0.47597922145001165,0.0708887649826099
1996,CCSM4,10,0.0438422295142514,-0.12046985183624982,0.03519076088711936,0.0016400687262705521,-0.1742784026845527,0.03374803773506208
1996,CCSM4,11,0.0438422295142514,-0.11921811983418353,-0.019994114847799095,0.03650724455935792,-0.1742784026845527,0.1314056982300696
1997,CCSM4,6,0.1749624413214131,0.005270758408397807,-0.14179776824070947,0.0432955028432624,-0.06617737384098996,0.07318452759866739
1997,CCSM4,7,0.1749624413214131,0.020734100241845806,-0.1866260426168773,0.036826247299815165,-0.05216951155250243,0.046744791096227034
1997,CCSM4,8,0.1749624413214131,-0.02109939360165854,0.005566819477159723,0.08111180893637353,0.07516057614416358,-0.007890129036524352
1997,CCSM4,9,0.1749624413214131,0.1275841690689434,-0.21558653514441675,0.14126167073216497,0.1419726041320564,0.0383460461853506
1997,CCSM4,10,0.1749624413214131,0.06370728700912079,-0.28507114490880975,0.22878092230242952,-0.7236560342126448,0.06361225126676107
1997,CCSM4,11,0.1749624413214131,0.06938434522121796,-0.17988954932858223,0.07413586955358178,-0.7236560342126448,0.1466379687320331
1998,CCSM4,6,-0.0058567104049688,-0.12318857296171169,-0.045905638479272,-0.0007845356521173811,-0.04667665408054392,0.047194817804546665
1998,CCSM4,7,-0.0058567104049688,-0.09301929873327258,-0.13869085016212104,0.0516947379111502,-0.07102628355738633,-0.09141105027469702
1998,CCSM4,8,-0.0058567104049688,-0.11709016632432684,-0.025488020430347997,-0.05337588188459883,-0.06576729206482439,0.02363043311672991
1998,CCSM4,9,-0.0058567104049688,-0.07316117921493262,-0.024819184150664583,-0.022155574701649607,-0.04345585273643464,0.06312461752632402
1998,CCSM4,10,-0.0058567104049688,-0.13025015870978324,-0.02068807222501035,0.020805113038679632,-0.8635694093781636,0.011292836618128724
1998,CCSM4,11,-0.0058567104049688,-0.0970236171155491,-0.043821980550046505,0.0034472008497526156,-0.8635694093781636,-0.4795650980177167
1999,CCSM4,6,0.0604868169775441,-0.06420252267812683,-0.013973296555562216,0.0764268560320993,0.1682846997951501,0.0694213972252703
1999,CCSM4,7,0.0604868169775441,-0.13292459982096375,0.007526359259277257,0.11761258694296106,0.04505922971892638,0.08705738985539768
1999,CCSM4,8,0.0604868169775441,-0.11763125015876136,-0.009378680886952304,0.09291064137036822,0.0917951494356598,0.1285097757362755
1999,CCSM4,9,0.0604868169775441,-0.10256631412673398,-0.14201976217181994,0.06965064985309323,0.0215311679567425,0.13865294269459905
1999,CCSM4,10,0.0604868169775441,0.16430122691224727,-0.26573117795451645,0.17260708903189667,1.4829592427440983,0.10082861194513447
1999,CCSM4,11,0.0604868169775441,-0.0904688721435304,-0.13419598830385202,0.042154071267520896,1.4829592427440983,0.6251926499535749
2000,CCSM4,6,0.0431739046614468,-0.12002307978373117,0.048803470480887116,-0.05779461413110277,-0.014036918707793585,0.06563879259635295
2000,CCSM4,7,0.0431739046614468,-0.12104992112357764,0.03819374334001386,-0.05690599400928543,-0.06755001296154681,0.04336477335139651
2000,CCSM4,8,0.0431739046614468,-0.12010422686569419,0.028781720778904105,0.005252664901965441,-0.06159021807122943,0.07152747967265115
2000,CCSM4,9,0.0431739046614468,-0.11789616629543695,0.030666612185934864,-0.04577724145940066,-0.05830053203986469,0.0659035045125486
2000,CCSM4,10,0.0431739046614468,-0.11653375531053489,0.03351999266022782,-0.04192902506332453,-0.6881089409014947,0.07429746494599114
2000,CCSM4,11,0.0431739046614468,-0.11031651038337074,0.06087650364850884,-0.01661292976316767,-0.6881089409014947,0.1864129160569184
2001,CCSM4,6,-0.0860371438521511,-0.1239139632435739,-0.0013060953197871008,0.07346052453107507,-0.00011866827929561949,0.029322894941035738
2001,CCSM4,7,-0.0860371438521511,-0.12333301008296055,-0.006325356886995259,0.1007091944132895,0.10705866070477277,0.033397009378718555
2001,CCSM4,8,-0.0860371438521511,-0.1076264200406498,-0.03195745473551583,0.0740082252815382,0.10106319965745227,0.009101670002168365
2001,CCSM4,9,-0.0860371438521511,-0.12086589629011865,-0.005746456620347552,0.10198329645148405,0.26254523111066935,0.04116461156269815
2001,CCSM4,10,-0.0860371438521511,-0.037301381049827206,-0.09639537951340389,0.07746348828101864,1.113452003419,0.019377021751095354
2001,CCSM4,11,-0.0860371438521511,-0.12099038849709497,0.04289842432103414,0.09346960461168688,1.113452003419,-0.6196421087530761
2002,CCSM4,6,-0.163047452419617,-0.12354646402649541,-0.04206888746000933,0.059008067196459915,-0.04476597594936442,0.08913366004418834
2002,CCSM4,7,-0.163047452419617,-0.12783733495640076,-0.021477603745792974,0.21203061149496835,-0.06215333902768273,0.09894670247256214
2002,CCSM4,8,-0.163047452419617,-0.08091973572453814,0.03131950538761615,0.05670124494771966,-0.006707881352160789,0.10476539031150695
2002,CCSM4,9,-0.163047452419617,-0.09064031444971961,-0.023219450382997484,0.10245021825074885,-0.07298791265379215,0.0900319075440997
2002,CCSM4,10,-0.163047452419617,-0.0984118929093791,-0.16115571523619357,0.19031492798026722,-0.8386494780403717,0.14102529548433776
2002,CCSM4,11,-0.163047452419617,0.01751299391016121,-0.18407742003691455,0.09556421256107185,-0.8386494780403717,0.604071131939612
2003,CCSM4,6,0.0845657703118935,-0.12752796911701864,0.0019239189935023565,-0.027996839319892858,-0.01736888249174357,0.05729379097223693
2003,CCSM4,7,0.0845657703118935,-0.13165234862981887,-0.011987975223814422,-0.016114259495888503,-0.02832681758846567,-0.016537494224646995
2003,CCSM4,8,0.0845657703118935,-0.12146677832382169,0.005260833945605741,-0.05024204359923978,0.017322671574182682,0.03995156683540568
2003,CCSM4,9,0.0845657703118935,-0.13350666753077037,0.008047827236732412,-0.04681702225595205,0.04295475883077149,0.09511233330433363
2003,CCSM4,10,0.0845657703118935,-0.12593624128176797,-0.034876383168915795,-0.04604078296969137,0.3689496874381421,0.056011012299470565
2003,CCSM4,11,0.0845657703118935,-0.08843136022091788,-0.029637135999731355,-0.03701859963049456,0.3689496874381421,-0.3912472457368657
2004,CCSM4,6,0.092986606107303,-0.12344014852013956,0.009094811028311221,-0.03299906848070862,0.05533871378228723,0.07808331167573801
2004,CCSM4,7,0.092986606107303,0.025391113704829542,-0.2066302511083688,0.011857376204325726,-0.04542926158332689,0.04622627011977867
2004,CCSM4,8,0.092986606107303,-0.007327943648337188,-0.04703726129137459,-0.04939393388268802,-0.05045263619795254,0.03645325663117801
2004,CCSM4,9,0.092986606107303,-0.038271719164436516,0.08964558438869374,0.07329830068522643,-0.04933165309472828,-0.027869807451240302
2004,CCSM4,10,0.092986606107303,-0.1018561584550245,-0.025436556382151497,-0.04006179666933787,-0.2351976402199751,0.027585406853724848
2004,CCSM4,11,0.092986606107303,-0.040272470477788175,-0.11281955363832866,-0.052890948110275504,-0.2351976402199751,0.1788799489603846
2005,CCSM4,6,0.0308786558249672,-0.082123934241167,0.029818923505186477,-0.045044370475937824,-0.05444511251330824,0.10663177189028802
2005,CCSM4,7,0.0308786558249672,-0.016045159031509184,-0.04520233252175603,-0.03561826553538133,-0.05801904450465283,0.05493858577780483
2005,CCSM4,8,0.0308786558249672,-0.03414426073133748,-0.10092581321756375,-0.046866782016896605,-0.07389733030621541,0.09156972601500128
2005,CCSM4,9,0.0308786558249672,-0.10598528109187279,0.052804044781726206,-0.007883230456377894,0.01797058372245869,0.06464842031774579
2005,CCSM4,10,0.0308786558249672,-0.0009506944380192447,-0.22679296765726234,0.056698260784142605,-0.8515137542998903,0.12914063102908707
2005,CCSM4,11,0.0308786558249672,-0.1024425939926611,-0.04158994606279114,0.08001819573472839,-0.8515137542998903,1.1745415532422097
2006,CCSM4,6,0.0593712156755031,-0.12578830539494718,0.007810761395319256,-0.0230349633914169,-0.05587649169276734,0.09465333646191959
2006,CCSM4,7,0.0593712156755031,-0.10908047759804762,-0.00762719514891173,-0.029868742787132314,-0.05694371049093677,0.1175579922714039
2006,CCSM4,8,0.0593712156755031,-0.13223733766890186,-0.008775776348972529,0.022382613306597535,-0.012098475797600018,0.0851377379528242
2006,CCSM4,9,0.0593712156755031,-0.1253235213295076,0.004711257595065682,-0.051154655348763865,0.09796688624570904,0.048545394680036165
2006,CCSM4,10,0.0593712156755031,-0.12983433385629525,-0.021055657356104793,0.06278501882057255,-0.4338146636448901,0.09795209215068057
2006,CCSM4,11,0.0593712156755031,-0.13093484965756685,-0.03625633755859495,-0.04174332223992461,-0.4338146636448901,0.3342350624128293
2007,CCSM4,6,0.0905650302906363,-0.09037984040829068,0.011836051473352874,0.03693529226920679,0.07853434755391558,0.07853163673604227
2007,CCSM4,7,0.0905650302906363,-0.07842573117038033,0.07256963483325242,0.058631156023040434,0.010745176826040103,0.06311387853238135
2007,CCSM4,8,0.0905650302906363,-0.08077421729871144,-0.001750848234014203,0.02170398933812503,-0.001305577728172594,0.04320243360213431
2007,CCSM4,9,0.0905650302906363,-0.10105937426521719,0.025742279353824064,0.020321800208802407,0.12902609328643336,0.06901286380586644
2007,CCSM4,10,0.0905650302906363,-0.10280599517563493,0.03201201101695315,0.020953641694239595,1.1255574558677706,0.05092339910601196
2007,CCSM4,11,0.0905650302906363,-0.10166813466065908,0.010042689478234033,0.16200008377227826,1.1255574558677706,0.3171562547581265
2008,CCSM4,6,-0.2892032265600597,0.46859512822883764,-0.16040422404275445,0.019999090609391014,-0.05703756451186606,0.04283766512011874
2008,CCSM4,7,-0.2892032265600597,1.1329445561671396,-0.151028706456118,0.03976563443114152,-0.06958373969703503,0.02836943457332492
2008,CCSM4,8,-0.2892032265600597,0.5730250732371484,-0.13653580650539554,0.022112585852437378,-0.04528155200081809,0.040346563663783294
2008,CCSM4,9,-0.2892032265600597,0.6062034067472304,-0.21746707945593358,0.02061592620715862,0.2481072790935368,0.0446807727202327
2008,CCSM4,10,-0.2892032265600597,0.4936549749025234,-0.19637252812109823,0.07987535145038889,-0.7843217862835655,0.044497176925348894
2008,CCSM4,11,-0.2892032265600597,1.9484072178505494,-0.3366533393231654,0.1118906396071603,-0.7843217862835655,-0.5336226535854481
2009,CCSM4,6,0.0836469101650344,-0.0716312736023471,0.04749874930912785,0.05750842327703763,0.18012318708394054,0.11792873646207996
2009,CCSM4,7,0.0836469101650344,0.005403030450703917,-0.07841292995918302,0.1389854415095452,0.049669197382538194,-0.02958083668705174
2009,CCSM4,8,0.0836469101650344,-0.09888034227549367,-0.003052601714311948,-0.0013374764484873848,0.01973058271978094,0.10783503789407836
2009,CCSM4,9,0.0836469101650344,-0.07439766241287127,-0.03142996307191162,0.12579435069004913,0.4782039377814289,0.11612357238419273
2009,CCSM4,10,0.0836469101650344,-0.09838236967055419,0.11351209641696205,0.05455747810504239,1.5719340175655154,0.04126496439264575
2009,CCSM4,11,0.0836469101650344,-0.11712734018264012,0.017449045757737147,0.35359267488936574,1.5719340175655154,-0.6091635632373925
2010,CCSM4,6,0.393264818221862,-0.1254378518986753,0.034304982021080815,0.05428518125319597,0.20912441850253968,0.13838234933519705
