name,time,year,month,rain,tmean
buenos aires 25 de mayo,1993-09-01,1993,9,0.0036717285,11.504343625332469
buenos aires 25 de mayo,1993-10-01,1993,10,0.004624265,15.942627992021299
buenos aires 25 de mayo,1993-11-01,1993,11,0.005893228,18.167580202792575
buenos aires 25 de mayo,1994-09-01,1994,9,0.004833569,13.180592378656938
buenos aires 25 de mayo,1994-10-01,1994,10,0.002981503,14.954954496343108
buenos aires 25 de mayo,1994-11-01,1994,11,0.001956453,19.68908535571811
buenos aires 25 de mayo,1995-09-01,1995,9,0.0005350819,13.906199094082469
buenos aires 25 de mayo,1995-10-01,1995,10,0.0027900857,15.538507729388321
buenos aires 25 de mayo,1995-11-01,1995,11,0.0017773843,20.50128927027928
buenos aires 25 de mayo,1996-09-01,1996,9,0.0016178781,12.552023769946832
buenos aires 25 de mayo,1996-10-01,1996,10,0.003890457,16.69574987533247
buenos aires 25 de mayo,1996-11-01,1996,11,0.0045580966,19.729191946476085
buenos aires 25 de mayo,1997-09-01,1997,9,0.001300788,12.134242021276618
buenos aires 25 de mayo,1997-10-01,1997,10,0.0053238343,15.328479263630342
buenos aires 25 de mayo,1997-11-01,1997,11,0.0050305673,18.049499251994703
buenos aires 25 de mayo,1998-09-01,1998,9,0.0015321575,11.672795462101087
buenos aires 25 de mayo,1998-10-01,1998,10,0.001691724,17.23969518783247
buenos aires 25 de mayo,1998-11-01,1998,11,0.0035079585,18.88508352726066
buenos aires 25 de mayo,1999-09-01,1999,9,0.0034632015,13.191069647606406
buenos aires 25 de mayo,1999-10-01,1999,10,0.002041138,15.45882957945481
buenos aires 25 de mayo,1999-11-01,1999,11,0.0014818899,18.914094705784596
buenos aires 25 de mayo,2000-09-01,2000,9,0.0031754742,12.115713306183533
buenos aires 25 de mayo,2000-10-01,2000,10,0.004634224,15.163814203789917
buenos aires 25 de mayo,2000-11-01,2000,11,0.0042754407,17.42615109707449
buenos aires 25 de mayo,2001-09-01,2001,9,0.002630531,12.713785114694172
buenos aires 25 de mayo,2001-10-01,2001,10,0.0076969177,16.12700610871013
buenos aires 25 de mayo,2001-11-01,2001,11,0.0049936436,17.863765375664915
buenos aires 25 de mayo,2002-09-01,2002,9,0.0016933654,12.652147398603747
buenos aires 25 de mayo,2002-10-01,2002,10,0.0067956154,17.063363322805873
buenos aires 25 de mayo,2002-11-01,2002,11,0.0052080816,19.456590757978745
buenos aires 25 de mayo,2003-09-01,2003,9,0.0015999805,12.892973944481406
buenos aires 25 de mayo,2003-10-01,2003,10,0.003503904,17.255122797539915
buenos aires 25 de mayo,2003-11-01,2003,11,0.0088507,18.78876745345747
buenos aires 25 de mayo,2004-09-01,2004,9,0.0017283269,13.495876620678214
buenos aires 25 de mayo,2004-10-01,2004,10,0.0031085329,15.516218209773958
buenos aires 25 de mayo,2004-11-01,2004,11,0.0028655196,18.302756191821832
buenos aires 25 de mayo,2005-09-01,2005,9,0.0015324499,12.268268731299889
buenos aires 25 de mayo,2005-10-01,2005,10,0.0020390255,15.383956324800554
buenos aires 25 de mayo,2005-11-01,2005,11,0.0031051363,20.448113364361724
buenos aires 25 de mayo,2006-09-01,2006,9,0.00089278264,13.710922955452151
buenos aires 25 de mayo,2006-10-01,2006,10,0.0067195874,17.301680934175554
buenos aires 25 de mayo,2006-11-01,2006,11,0.0017006095,18.733669589428214
buenos aires 25 de mayo,2007-09-01,2007,9,0.0040628077,14.542268533909597
buenos aires 25 de mayo,2007-10-01,2007,10,0.004208374,17.123437500000023
buenos aires 25 de mayo,2007-11-01,2007,11,0.003717126,17.51246779421545
buenos aires 25 de mayo,2008-09-01,2008,9,0.0014600792,12.678078249667577
buenos aires 25 de mayo,2008-10-01,2008,10,0.002489035,16.073061419547894
buenos aires 25 de mayo,2008-11-01,2008,11,0.0021757463,22.792195811170238
buenos aires 25 de mayo,2009-09-01,2009,9,0.0030545811,11.349781831781938
buenos aires 25 de mayo,2009-10-01,2009,10,0.002077014,16.172140957446832
buenos aires 25 de mayo,2009-11-01,2009,11,0.0041985963,19.954793467420235
buenos aires 25 de mayo,2010-09-01,2010,9,0.0032209472,13.02743309507981
buenos aires 25 de mayo,2010-10-01,2010,10,0.0017259703,15.307961062167577
buenos aires 25 de mayo,2010-11-01,2010,11,0.0009890966,19.619307887300554
buenos aires 25 de mayo,2011-09-01,2011,9,0.0017590193,14.393955701462788
buenos aires 25 de mayo,2011-10-01,2011,10,0.0027230626,15.172717544880342
buenos aires 25 de mayo,2011-11-01,2011,11,0.0018249557,21.94400452958779
buenos aires 25 de mayo,2012-09-01,2012,9,0.0026154679,13.331741397938853
buenos aires 25 de mayo,2012-10-01,2012,10,0.0062787766,16.63288626163566
buenos aires 25 de mayo,2012-11-01,2012,11,0.0037870554,20.071700465425554
buenos aires 25 de mayo,2013-09-01,2013,9,0.002627219,12.35623857214098
buenos aires 25 de mayo,2013-10-01,2013,10,0.0014242345,17.064023021941512
buenos aires 25 de mayo,2013-11-01,2013,11,0.0067323833,19.52795254321811
buenos aires 25 de mayo,2014-09-01,2014,9,0.0017675083,14.120461062167577
buenos aires 25 de mayo,2014-10-01,2014,10,0.0052213306,17.766259765625023
buenos aires 25 de mayo,2014-11-01,2014,11,0.004504295,19.120035114694172
buenos aires 25 de mayo,2015-09-01,2015,9,0.0009313966,12.185428440824492
buenos aires 25 de mayo,2015-10-01,2015,10,0.0017504365,13.914260929188853
