Cultivo;Campaña;Provincia;Departamento;idProvincia;idDepartamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
"Trigo total";1969/70;"BUENOS AIRES";"25 DE MAYO";6;854;47000;42000;71400;1700
"Trigo total";1970/71;"BUENOS AIRES";"25 DE MAYO";6;854;37000;36000;54000;1500
"Trigo total";1971/72;"BUENOS AIRES";"25 DE MAYO";6;854;30000;30000;39000;1300
"Trigo total";1972/73;"BUENOS AIRES";"25 DE MAYO";6;854;42000;41000;73600;1795
"Trigo total";1973/74;"BUENOS AIRES";"25 DE MAYO";6;854;6000;6000;9000;1500
"Trigo total";1974/75;"BUENOS AIRES";"25 DE MAYO";6;854;26000;26000;39000;1500
"Trigo total";1975/76;"BUENOS AIRES";"25 DE MAYO";6;854;10000;10000;14000;1400
"Trigo total";1976/77;"BUENOS AIRES";"25 DE MAYO";6;854;24000;18000;27000;1500
"Trigo total";1977/78;"BUENOS AIRES";"25 DE MAYO";6;854;14000;13300;16000;1203
"Trigo total";1978/79;"BUENOS AIRES";"25 DE MAYO";6;854;14000;11200;14560;1300
"Trigo total";1979/80;"BUENOS AIRES";"25 DE MAYO";6;854;20000;20000;22000;1100
"Trigo total";1980/81;"BUENOS AIRES";"25 DE MAYO";6;854;13000;12470;22452;1800
"Trigo total";1981/82;"BUENOS AIRES";"25 DE MAYO";6;854;25000;24300;40000;1646
"Trigo total";1982/83;"BUENOS AIRES";"25 DE MAYO";6;854;26000;26000;41600;1600
"Trigo total";1983/84;"BUENOS AIRES";"25 DE MAYO";6;854;30000;30000;60000;2000
"Trigo total";1984/85;"BUENOS AIRES";"25 DE MAYO";6;854;28000;28000;56000;2000
"Trigo total";1985/86;"BUENOS AIRES";"25 DE MAYO";6;854;30000;25000;30000;1200
"Trigo total";1986/87;"BUENOS AIRES";"25 DE MAYO";6;854;22400;22400;40000;1786
"Trigo total";1987/88;"BUENOS AIRES";"25 DE MAYO";6;854;10800;10800;18550;1718
"Trigo total";1988/89;"BUENOS AIRES";"25 DE MAYO";6;854;28000;28000;55000;1964
"Trigo total";1989/90;"BUENOS AIRES";"25 DE MAYO";6;854;32000;32000;60100;1878
"Trigo total";1990/91;"BUENOS AIRES";"25 DE MAYO";6;854;38400;38400;84500;2201
"Trigo total";1991/92;"BUENOS AIRES";"25 DE MAYO";6;854;21000;21000;48300;2300
"Trigo total";1992/93;"BUENOS AIRES";"25 DE MAYO";6;854;16800;16800;43700;2601
"Trigo total";1993/94;"BUENOS AIRES";"25 DE MAYO";6;854;14000;14000;28000;2000
"Trigo total";1994/95;"BUENOS AIRES";"25 DE MAYO";6;854;40000;40000;124000;3100
"Trigo total";1995/96;"BUENOS AIRES";"25 DE MAYO";6;854;37500;37500;108800;2901
"Trigo total";1996/97;"BUENOS AIRES";"25 DE MAYO";6;854;56600;56600;226400;4000
"Trigo total";1997/98;"BUENOS AIRES";"25 DE MAYO";6;854;35100;35100;115800;3299
"Trigo total";1998/99;"BUENOS AIRES";"25 DE MAYO";6;854;32600;32600;121000;3712
"Trigo total";1999/00;"BUENOS AIRES";"25 DE MAYO";6;854;37500;37500;124000;3307
"Trigo total";2000/01;"BUENOS AIRES";"25 DE MAYO";6;854;32000;30800;89000;2890
"Trigo total";2001/02;"BUENOS AIRES";"25 DE MAYO";6;854;16000;13600;23200;1706
"Trigo total";2002/03;"BUENOS AIRES";"25 DE MAYO";6;854;12000;11830;23660;2000
"Trigo total";2003/04;"BUENOS AIRES";"25 DE MAYO";6;854;13680;12480;48670;3900
"Trigo total";2004/05;"BUENOS AIRES";"25 DE MAYO";6;854;16500;16350;67040;4100
"Trigo total";2005/06;"BUENOS AIRES";"25 DE MAYO";6;854;17800;17800;80100;4500
"Trigo total";2006/07;"BUENOS AIRES";"25 DE MAYO";6;854;23000;23000;103500;4500
"Trigo total";2007/08;"BUENOS AIRES";"25 DE MAYO";6;854;26000;25150;90540;3600
"Trigo total";2008/09;"BUENOS AIRES";"25 DE MAYO";6;854;22000;22000;79200;3600
"Trigo total";2009/10;"BUENOS AIRES";"25 DE MAYO";6;854;15320;15320;11280;736
"Trigo total";2010/11;"BUENOS AIRES";"25 DE MAYO";6;854;19000;19000;86330;4544
"Trigo total";2011/12;"BUENOS AIRES";"25 DE MAYO";6;854;21000;21000;98700;4700
"Trigo total";2012/13;"BUENOS AIRES";"25 DE MAYO";6;854;15000;12000;33600;2800
"Trigo total";2013/14;"BUENOS AIRES";"25 DE MAYO";6;854;11000;11000;42900;3900
"Trigo total";2014/15;"BUENOS AIRES";"25 DE MAYO";6;854;26160;25910;95870;3700
"Trigo total";2015/16;"BUENOS AIRES";"25 DE MAYO";6;854;14100;6200;18600;3000
"Trigo total";2016/17;"BUENOS AIRES";"25 DE MAYO";6;854;47900;43060;159322;3700
"Trigo total";2017/18;"BUENOS AIRES";"25 DE MAYO";6;854;37720;37340;147493;3950
"Trigo total";2018/19;"BUENOS AIRES";"25 DE MAYO";6;854;43586;40986;151648;3700
"Trigo total";2019/20;"BUENOS AIRES";"25 DE MAYO";6;854;42080;41238;152962;3709
"Trigo total";2020/21;"BUENOS AIRES";"25 DE MAYO";6;854;50223;49119;191542;3900
"Trigo total";2021/22;"BUENOS AIRES";"25 DE MAYO";6;854;55600;55030;220074;3999
"Trigo total";1969/70;"BUENOS AIRES";"9 DE JULIO";6;588;35000;33000;59400;1800
"Trigo total";1970/71;"BUENOS AIRES";"9 DE JULIO";6;588;32000;31400;50000;1592
"Trigo total";1971/72;"BUENOS AIRES";"9 DE JULIO";6;588;28000;28000;42000;1500
"Trigo total";1972/73;"BUENOS AIRES";"9 DE JULIO";6;588;31000;28000;46200;1650
"Trigo total";1973/74;"BUENOS AIRES";"9 DE JULIO";6;588;7500;7500;12800;1707
"Trigo total";1974/75;"BUENOS AIRES";"9 DE JULIO";6;588;17000;17000;30600;1800
"Trigo total";1975/76;"BUENOS AIRES";"9 DE JULIO";6;588;12000;12000;16800;1400
"Trigo total";1976/77;"BUENOS AIRES";"9 DE JULIO";6;588;45000;38250;76500;2000
"Trigo total";1977/78;"BUENOS AIRES";"9 DE JULIO";6;588;27000;22000;30000;1364
"Trigo total";1978/79;"BUENOS AIRES";"9 DE JULIO";6;588;29000;18500;33000;1784
"Trigo total";1979/80;"BUENOS AIRES";"9 DE JULIO";6;588;22000;21050;42100;2000
"Trigo total";1980/81;"BUENOS AIRES";"9 DE JULIO";6;588;33000;32000;82000;2563
"Trigo total";1981/82;"BUENOS AIRES";"9 DE JULIO";6;588;50000;50000;110000;2200
"Trigo total";1982/83;"BUENOS AIRES";"9 DE JULIO";6;588;62000;62000;155000;2500
"Trigo total";1983/84;"BUENOS AIRES";"9 DE JULIO";6;588;50000;50000;120000;2400
"Trigo total";1984/85;"BUENOS AIRES";"9 DE JULIO";6;588;47000;47000;122200;2600
"Trigo total";1985/86;"BUENOS AIRES";"9 DE JULIO";6;588;46000;40400;52500;1300
"Trigo total";1986/87;"BUENOS AIRES";"9 DE JULIO";6;588;38000;37000;70800;1914
"Trigo total";1987/88;"BUENOS AIRES";"9 DE JULIO";6;588;10000;10000;19900;1990
"Trigo total";1988/89;"BUENOS AIRES";"9 DE JULIO";6;588;22000;22000;55000;2500
"Trigo total";1989/90;"BUENOS AIRES";"9 DE JULIO";6;588;30000;30000;63000;2100
"Trigo total";1990/91;"BUENOS AIRES";"9 DE JULIO";6;588;42000;42000;121800;2900
"Trigo total";1991/92;"BUENOS AIRES";"9 DE JULIO";6;588;31000;31000;86800;2800
"Trigo total";1992/93;"BUENOS AIRES";"9 DE JULIO";6;588;52000;52000;150800;2900
"Trigo total";1993/94;"BUENOS AIRES";"9 DE JULIO";6;588;44000;44000;101200;2300
"Trigo total";1994/95;"BUENOS AIRES";"9 DE JULIO";6;588;51700;51700;170600;3300
"Trigo total";1995/96;"BUENOS AIRES";"9 DE JULIO";6;588;58000;58000;182700;3150
"Trigo total";1996/97;"BUENOS AIRES";"9 DE JULIO";6;588;80000;79700;294900;3700
"Trigo total";1997/98;"BUENOS AIRES";"9 DE JULIO";6;588;55000;49000;151900;3100
"Trigo total";1998/99;"BUENOS AIRES";"9 DE JULIO";6;588;29000;29000;105000;3621
"Trigo total";1999/00;"BUENOS AIRES";"9 DE JULIO";6;588;46000;46000;164500;3576
"Trigo total";2000/01;"BUENOS AIRES";"9 DE JULIO";6;588;25000;25000;62500;2500
"Trigo total";2001/02;"BUENOS AIRES";"9 DE JULIO";6;588;10000;9500;21000;2211
"Trigo total";2002/03;"BUENOS AIRES";"9 DE JULIO";6;588;15000;15000;30000;2000
"Trigo total";2003/04;"BUENOS AIRES";"9 DE JULIO";6;588;13000;11800;35400;3000
"Trigo total";2004/05;"BUENOS AIRES";"9 DE JULIO";6;588;24000;24000;100800;4200
"Trigo total";2005/06;"BUENOS AIRES";"9 DE JULIO";6;588;23000;23000;92000;4000
"Trigo total";2006/07;"BUENOS AIRES";"9 DE JULIO";6;588;27000;27000;108000;4000
"Trigo total";2007/08;"BUENOS AIRES";"9 DE JULIO";6;588;26500;26500;84800;3200
"Trigo total";2008/09;"BUENOS AIRES";"9 DE JULIO";6;588;20000;20000;50000;2500
"Trigo total";2009/10;"BUENOS AIRES";"9 DE JULIO";6;588;13460;13460;44170;3282
"Trigo total";2010/11;"BUENOS AIRES";"9 DE JULIO";6;588;20000;20000;113600;5680
"Trigo total";2011/12;"BUENOS AIRES";"9 DE JULIO";6;588;13000;13000;65000;5000
"Trigo total";2012/13;"BUENOS AIRES";"9 DE JULIO";6;588;6170;5670;17010;3000
"Trigo total";2013/14;"BUENOS AIRES";"9 DE JULIO";6;588;8000;8000;38400;4800
"Trigo total";2014/15;"BUENOS AIRES";"9 DE JULIO";6;588;13000;12350;50640;4100
"Trigo total";2015/16;"BUENOS AIRES";"9 DE JULIO";6;588;8000;7200;28800;4000
"Trigo total";2016/17;"BUENOS AIRES";"9 DE JULIO";6;588;57500;51690;217098;4200
"Trigo total";2017/18;"BUENOS AIRES";"9 DE JULIO";6;588;48820;48820;244100;5000
"Trigo total";2018/19;"BUENOS AIRES";"9 DE JULIO";6;588;65329;64601;258404;4000
"Trigo total";2019/20;"BUENOS AIRES";"9 DE JULIO";6;588;45500;45500;204750;4500
"Trigo total";2020/21;"BUENOS AIRES";"9 DE JULIO";6;588;60010;60010;252040;4200
"Trigo total";2021/22;"BUENOS AIRES";"9 DE JULIO";6;588;67211;67211;329250;4899
"Trigo total";1969/70;"BUENOS AIRES";"ADOLFO ALSINA";6;7;125000;110000;143000;1300
"Trigo total";1970/71;"BUENOS AIRES";"ADOLFO ALSINA";6;7;118000;99000;72000;727
"Trigo total";1971/72;"BUENOS AIRES";"ADOLFO ALSINA";6;7;118000;106000;127200;1200
"Trigo total";1972/73;"BUENOS AIRES";"ADOLFO ALSINA";6;7;125000;110000;187000;1700
"Trigo total";1973/74;"BUENOS AIRES";"ADOLFO ALSINA";6;7;90000;85000;153150;1802
"Trigo total";1974/75;"BUENOS AIRES";"ADOLFO ALSINA";6;7;100000;85000;102000;1200
"Trigo total";1975/76;"BUENOS AIRES";"ADOLFO ALSINA";6;7;110000;96000;134400;1400
"Trigo total";1976/77;"BUENOS AIRES";"ADOLFO ALSINA";6;7;135000;119000;188200;1582
