year,harvested area [ha],yield [kg/ha]
1969,5084940,1360.855654147345
1970,3582000,1332.279726409827
1971,4198650,1266.784323532564
1972,4848950,1605.905134101197
1973,3842190,1665.8598442554896
1974,4107170,1412.3388350129164
1975,5107760,1628.8669984494181
1976,6299890,1721.1350071191719
1977,3798970,1355.3081098297696
1978,4593010,1739.8409692119112
1979,4698400,1698.8363847267156
1980,4952630,1555.1685892142154
1981,5841800,1404.132214385977
1982,7207920,2060.3421472491373
1983,6977965,1842.5181073565143
1984,5796000,2315.2665286404417
1985,5250850,1617.6709919346392
1986,4817540,1783.0809209679628
1987,4732020,1886.6797414212112
1988,4585200,1845.059364913199
1989,5202350,1901.4368698761136
1990,5683100,1906.0477380303003
1991,4474150,2180.983382318429
1992,4162500,2332.28627027027
1993,4709700,2034.7636855850692
1994,5112320,2188.9129221175513
1995,4783950,1949.8943864379853
1996,6869210,2266.9173340165753
1997,5550865,2622.780514388298
1998,5224230,2308.8536683874945
1999,5851950,2508.1926656926325
2000,6003325,2549.0297626731854
2001,6195570,2269.8752221345253
2002,5284870,2091.4331497274293
2003,5015597,2681.9260062162093
2004,5476881,2765.908993458138
2005,4427825,2654.207660420184
2006,4780545,2805.299920824927
2007,5214537,2965.428469296507
2008,3832820,2028.187654259788
2009,2867690,2977.8543113098
2010,3564845,3927.9237119706468
2011,3547790,3647.5272817725963
2012,2488476,2953.1877438239308
2013,3314755,2711.318329710642
2014,4581125,2890.365048978144
2015,3220992,3097.1323812663923
2016,4810250,3473.5385728392494
2017,4658760,3505.964301659669
2018,5225935,3385.722721579966
2019,5598828,3053.4209720320036
2020,5625392,2916.378763826592
2021,5539530,3710.546660998316
