year,province,municipality,name,production [t],harvested area [ha],yield [kg/ha]
1969,buenos aires,25 de mayo,buenos aires 25 de mayo,71400,42000,1700
1970,buenos aires,25 de mayo,buenos aires 25 de mayo,54000,36000,1500
1971,buenos aires,25 de mayo,buenos aires 25 de mayo,39000,30000,1300
1972,buenos aires,25 de mayo,buenos aires 25 de mayo,73600,41000,1795
1973,buenos aires,25 de mayo,buenos aires 25 de mayo,9000,6000,1500
1974,buenos aires,25 de mayo,buenos aires 25 de mayo,39000,26000,1500
1975,buenos aires,25 de mayo,buenos aires 25 de mayo,14000,10000,1400
1976,buenos aires,25 de mayo,buenos aires 25 de mayo,27000,18000,1500
1977,buenos aires,25 de mayo,buenos aires 25 de mayo,16000,13300,1203
1978,buenos aires,25 de mayo,buenos aires 25 de mayo,14560,11200,1300
1979,buenos aires,25 de mayo,buenos aires 25 de mayo,22000,20000,1100
1980,buenos aires,25 de mayo,buenos aires 25 de mayo,22452,12470,1800
1981,buenos aires,25 de mayo,buenos aires 25 de mayo,40000,24300,1646
1982,buenos aires,25 de mayo,buenos aires 25 de mayo,41600,26000,1600
1983,buenos aires,25 de mayo,buenos aires 25 de mayo,60000,30000,2000
1984,buenos aires,25 de mayo,buenos aires 25 de mayo,56000,28000,2000
1985,buenos aires,25 de mayo,buenos aires 25 de mayo,30000,25000,1200
1986,buenos aires,25 de mayo,buenos aires 25 de mayo,40000,22400,1786
1987,buenos aires,25 de mayo,buenos aires 25 de mayo,18550,10800,1718
1988,buenos aires,25 de mayo,buenos aires 25 de mayo,55000,28000,1964
1989,buenos aires,25 de mayo,buenos aires 25 de mayo,60100,32000,1878
1990,buenos aires,25 de mayo,buenos aires 25 de mayo,84500,38400,2201
1991,buenos aires,25 de mayo,buenos aires 25 de mayo,48300,21000,2300
1992,buenos aires,25 de mayo,buenos aires 25 de mayo,43700,16800,2601
1993,buenos aires,25 de mayo,buenos aires 25 de mayo,28000,14000,2000
1994,buenos aires,25 de mayo,buenos aires 25 de mayo,124000,40000,3100
1995,buenos aires,25 de mayo,buenos aires 25 de mayo,108800,37500,2901
1996,buenos aires,25 de mayo,buenos aires 25 de mayo,226400,56600,4000
1997,buenos aires,25 de mayo,buenos aires 25 de mayo,115800,35100,3299
1998,buenos aires,25 de mayo,buenos aires 25 de mayo,121000,32600,3712
1999,buenos aires,25 de mayo,buenos aires 25 de mayo,124000,37500,3307
2000,buenos aires,25 de mayo,buenos aires 25 de mayo,89000,30800,2890
2001,buenos aires,25 de mayo,buenos aires 25 de mayo,23200,13600,1706
2002,buenos aires,25 de mayo,buenos aires 25 de mayo,23660,11830,2000
2003,buenos aires,25 de mayo,buenos aires 25 de mayo,48670,12480,3900
2004,buenos aires,25 de mayo,buenos aires 25 de mayo,67040,16350,4100
2005,buenos aires,25 de mayo,buenos aires 25 de mayo,80100,17800,4500
2006,buenos aires,25 de mayo,buenos aires 25 de mayo,103500,23000,4500
2007,buenos aires,25 de mayo,buenos aires 25 de mayo,90540,25150,3600
2008,buenos aires,25 de mayo,buenos aires 25 de mayo,79200,22000,3600
2009,buenos aires,25 de mayo,buenos aires 25 de mayo,11280,15320,736
2010,buenos aires,25 de mayo,buenos aires 25 de mayo,86330,19000,4544
2011,buenos aires,25 de mayo,buenos aires 25 de mayo,98700,21000,4700
2012,buenos aires,25 de mayo,buenos aires 25 de mayo,33600,12000,2800
2013,buenos aires,25 de mayo,buenos aires 25 de mayo,42900,11000,3900
2014,buenos aires,25 de mayo,buenos aires 25 de mayo,95870,25910,3700
2015,buenos aires,25 de mayo,buenos aires 25 de mayo,18600,6200,3000
2016,buenos aires,25 de mayo,buenos aires 25 de mayo,159322,43060,3700
2017,buenos aires,25 de mayo,buenos aires 25 de mayo,147493,37340,3950
2018,buenos aires,25 de mayo,buenos aires 25 de mayo,151648,40986,3700
2019,buenos aires,25 de mayo,buenos aires 25 de mayo,152962,41238,3709
2020,buenos aires,25 de mayo,buenos aires 25 de mayo,191542,49119,3900
2021,buenos aires,25 de mayo,buenos aires 25 de mayo,220074,55030,3999
1969,buenos aires,9 de julio,buenos aires 9 de julio,59400,33000,1800
1970,buenos aires,9 de julio,buenos aires 9 de julio,50000,31400,1592
1971,buenos aires,9 de julio,buenos aires 9 de julio,42000,28000,1500
1972,buenos aires,9 de julio,buenos aires 9 de julio,46200,28000,1650
1973,buenos aires,9 de julio,buenos aires 9 de julio,12800,7500,1707
1974,buenos aires,9 de julio,buenos aires 9 de julio,30600,17000,1800
1975,buenos aires,9 de julio,buenos aires 9 de julio,16800,12000,1400
1976,buenos aires,9 de julio,buenos aires 9 de julio,76500,38250,2000
1977,buenos aires,9 de julio,buenos aires 9 de julio,30000,22000,1364
1978,buenos aires,9 de julio,buenos aires 9 de julio,33000,18500,1784
1979,buenos aires,9 de julio,buenos aires 9 de julio,42100,21050,2000
1980,buenos aires,9 de julio,buenos aires 9 de julio,82000,32000,2563
1981,buenos aires,9 de julio,buenos aires 9 de julio,110000,50000,2200
1982,buenos aires,9 de julio,buenos aires 9 de julio,155000,62000,2500
1983,buenos aires,9 de julio,buenos aires 9 de julio,120000,50000,2400
1984,buenos aires,9 de julio,buenos aires 9 de julio,122200,47000,2600
1985,buenos aires,9 de julio,buenos aires 9 de julio,52500,40400,1300
1986,buenos aires,9 de julio,buenos aires 9 de julio,70800,37000,1914
1987,buenos aires,9 de julio,buenos aires 9 de julio,19900,10000,1990
1988,buenos aires,9 de julio,buenos aires 9 de julio,55000,22000,2500
1989,buenos aires,9 de julio,buenos aires 9 de julio,63000,30000,2100
1990,buenos aires,9 de julio,buenos aires 9 de julio,121800,42000,2900
1991,buenos aires,9 de julio,buenos aires 9 de julio,86800,31000,2800
1992,buenos aires,9 de julio,buenos aires 9 de julio,150800,52000,2900
1993,buenos aires,9 de julio,buenos aires 9 de julio,101200,44000,2300
1994,buenos aires,9 de julio,buenos aires 9 de julio,170600,51700,3300
1995,buenos aires,9 de julio,buenos aires 9 de julio,182700,58000,3150
1996,buenos aires,9 de julio,buenos aires 9 de julio,294900,79700,3700
1997,buenos aires,9 de julio,buenos aires 9 de julio,151900,49000,3100
1998,buenos aires,9 de julio,buenos aires 9 de julio,105000,29000,3621
1999,buenos aires,9 de julio,buenos aires 9 de julio,164500,46000,3576
2000,buenos aires,9 de julio,buenos aires 9 de julio,62500,25000,2500
2001,buenos aires,9 de julio,buenos aires 9 de julio,21000,9500,2211
2002,buenos aires,9 de julio,buenos aires 9 de julio,30000,15000,2000
2003,buenos aires,9 de julio,buenos aires 9 de julio,35400,11800,3000
2004,buenos aires,9 de julio,buenos aires 9 de julio,100800,24000,4200
2005,buenos aires,9 de julio,buenos aires 9 de julio,92000,23000,4000
2006,buenos aires,9 de julio,buenos aires 9 de julio,108000,27000,4000
2007,buenos aires,9 de julio,buenos aires 9 de julio,84800,26500,3200
2008,buenos aires,9 de julio,buenos aires 9 de julio,50000,20000,2500
2009,buenos aires,9 de julio,buenos aires 9 de julio,44170,13460,3282
2010,buenos aires,9 de julio,buenos aires 9 de julio,113600,20000,5680
2011,buenos aires,9 de julio,buenos aires 9 de julio,65000,13000,5000
2012,buenos aires,9 de julio,buenos aires 9 de julio,17010,5670,3000
2013,buenos aires,9 de julio,buenos aires 9 de julio,38400,8000,4800
2014,buenos aires,9 de julio,buenos aires 9 de julio,50640,12350,4100
2015,buenos aires,9 de julio,buenos aires 9 de julio,28800,7200,4000
2016,buenos aires,9 de julio,buenos aires 9 de julio,217098,51690,4200
2017,buenos aires,9 de julio,buenos aires 9 de julio,244100,48820,5000
2018,buenos aires,9 de julio,buenos aires 9 de julio,258404,64601,4000
2019,buenos aires,9 de julio,buenos aires 9 de julio,204750,45500,4500
2020,buenos aires,9 de julio,buenos aires 9 de julio,252040,60010,4200
